kind	name	count	total	min	max	mean
metric	plan_us	92	17780491	27419	557192	193266.207
metric	writer_us	92	19836830	35515	496374	215617.717
metric	total_us	92	37617321	63016	1053566	408883.924
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	82724	0	3464	899.174
metric	r5_runs	92	1357332	6400	25797	14753.609
metric	vm_get_emerged_area_us	92	159	0	6	1.728
metric	vm_get_data_us	92	363253	3787	4336	3948.402
metric	vm_get_param2_data_us	92	362016	3783	4331	3934.957
metric	vm_get_light_data_us	92	570723	0	9217	6203.511
metric	vm_set_data_us	92	504549	0	7481	5484.228
metric	vm_set_param2_data_us	92	376082	0	7417	4087.848
metric	vm_set_lighting_us	92	9209	0	225	100.098
metric	vm_calc_lighting_us	92	529954	0	18048	5760.370
metric	vm_set_light_data_us	92	492095	0	7491	5348.859
metric	vm_update_liquids_us	92	68076	0	1249	739.957
writer_result	applied_clq	17	-	-	-	-
writer_result	noop_equal_content	22	-	-	-	-
writer_result	applied_cplq	53	-	-	-	-
callbacks	all	92	-	-	-	-
