seed	start	band	columns	changed	max_abs_delta
531802985935182545	anchor_001	pad_0_63	16129	0	0
531802985935182545	anchor_001	apron_64_73	5480	0	0
531802985935182545	anchor_001	blend_74_127	43416	2746	1
531802985935182545	anchor_001	outside_128_140	13936	0	0
531802985935182545	anchor_002	pad_0_63	16129	0	0
531802985935182545	anchor_002	apron_64_73	5480	0	0
531802985935182545	anchor_002	blend_74_127	43416	1768	1
531802985935182545	anchor_002	outside_128_140	13936	0	0
531802985935182545	anchor_003	pad_0_63	16129	0	0
531802985935182545	anchor_003	apron_64_73	5480	0	0
531802985935182545	anchor_003	blend_74_127	43416	4495	2
531802985935182545	anchor_003	outside_128_140	13936	0	0
531802985935182545	anchor_004	pad_0_63	16129	0	0
531802985935182545	anchor_004	apron_64_73	5480	0	0
531802985935182545	anchor_004	blend_74_127	43416	6311	2
531802985935182545	anchor_004	outside_128_140	13936	0	0
531802985935182545	anchor_005	pad_0_63	16129	0	0
531802985935182545	anchor_005	apron_64_73	5480	0	0
531802985935182545	anchor_005	blend_74_127	43416	2008	1
531802985935182545	anchor_005	outside_128_140	13936	0	0
531802985935182545	anchor_006	pad_0_63	16129	0	0
531802985935182545	anchor_006	apron_64_73	5480	0	0
531802985935182545	anchor_006	blend_74_127	43416	2518	1
531802985935182545	anchor_006	outside_128_140	13936	0	0
8675309	anchor_001	pad_0_63	16129	0	0
8675309	anchor_001	apron_64_73	5480	0	0
8675309	anchor_001	blend_74_127	43416	4909	1
8675309	anchor_001	outside_128_140	13936	0	0
8675309	anchor_002	pad_0_63	16129	0	0
8675309	anchor_002	apron_64_73	5480	0	0
8675309	anchor_002	blend_74_127	43416	1616	1
8675309	anchor_002	outside_128_140	13936	0	0
8675309	anchor_003	pad_0_63	16129	0	0
8675309	anchor_003	apron_64_73	5480	0	0
8675309	anchor_003	blend_74_127	43416	4188	1
8675309	anchor_003	outside_128_140	13936	0	0
8675309	anchor_004	pad_0_63	16129	0	0
8675309	anchor_004	apron_64_73	5480	0	0
8675309	anchor_004	blend_74_127	43416	4891	1
8675309	anchor_004	outside_128_140	13936	0	0
8675309	anchor_005	pad_0_63	16129	0	0
8675309	anchor_005	apron_64_73	5480	0	0
8675309	anchor_005	blend_74_127	43416	5280	1
8675309	anchor_005	outside_128_140	13936	0	0
8675309	anchor_006	pad_0_63	16129	0	0
8675309	anchor_006	apron_64_73	5480	0	0
8675309	anchor_006	blend_74_127	43416	1888	1
8675309	anchor_006	outside_128_140	13936	0	0
