seed	531802985935182545
start	band	columns	claim_excluded	veg_excluded	host_claim	host_vegetation
anchor_001	pad_0_63	16129	16129	16129	0	0
anchor_001	apron_64_73	5480	5480	5480	0	0
anchor_001	blend_74_127	43416	43416	1483	702	41665
anchor_001	outside_128_160	38016	1095	584	37373	37373
anchor_002	pad_0_63	16129	16129	16129	0	0
anchor_002	apron_64_73	5480	5480	5480	0	0
anchor_002	blend_74_127	43416	43416	4470	3930	42203
anchor_002	outside_128_160	38016	5599	5088	37444	37444
anchor_003	pad_0_63	16129	16129	16129	0	0
anchor_003	apron_64_73	5480	5480	5480	0	0
anchor_003	blend_74_127	43416	43416	1548	690	41607
anchor_003	outside_128_160	38016	1104	593	37360	37360
anchor_004	pad_0_63	16129	16129	16129	0	0
anchor_004	apron_64_73	5480	5480	5480	0	0
anchor_004	blend_74_127	43416	43416	1509	774	41649
anchor_004	outside_128_160	38016	1078	586	37366	37366
anchor_005	pad_0_63	16129	16129	16129	0	0
anchor_005	apron_64_73	5480	5480	5480	0	0
anchor_005	blend_74_127	43416	43416	1443	768	41701
anchor_005	outside_128_160	38016	2356	1863	37382	37382
anchor_006	pad_0_63	16129	16129	16129	0	0
anchor_006	apron_64_73	5480	5480	5480	0	0
anchor_006	blend_74_127	43416	43416	1144	732	42131
anchor_006	outside_128_160	38016	1045	550	37433	37433
