seed	531802985935182545
start	band	road_columns	unprotected	worst_x	worst_z	feature
anchor_001	envelope_0_127	663	0	-	-	-
anchor_001	approach_128_320	3748	0	-	-	-
anchor_001	beyond_321	1632	0	-	-	-
anchor_002	envelope_0_127	659	0	-	-	-
anchor_002	approach_128_320	2914	0	-	-	-
anchor_002	beyond_321	1663	0	-	-	-
anchor_003	envelope_0_127	659	0	-	-	-
anchor_003	approach_128_320	3859	0	-	-	-
anchor_003	beyond_321	3258	0	-	-	-
anchor_004	envelope_0_127	659	0	-	-	-
anchor_004	approach_128_320	4296	0	-	-	-
anchor_004	beyond_321	1841	0	-	-	-
anchor_005	envelope_0_127	655	0	-	-	-
anchor_005	approach_128_320	3663	0	-	-	-
anchor_005	beyond_321	3344	0	-	-	-
anchor_006	envelope_0_127	651	0	-	-	-
anchor_006	approach_128_320	2212	0	-	-	-
anchor_006	beyond_321	0	0	-	-	-
