seed	531802985935182545
start	band	road_columns	unprotected	worst_x	worst_z	feature
anchor_001	envelope_0_127	664	0	-	-	-
anchor_001	approach_128_320	3779	3779	-1809	-2422	route_001
anchor_001	beyond_321	1500	822	-1946	-2229	route_001
anchor_002	envelope_0_127	659	0	-	-	-
anchor_002	approach_128_320	2778	241	0	-2422	route_004
anchor_002	beyond_321	1722	0	-	-	-
anchor_003	envelope_0_127	660	0	-	-	-
anchor_003	approach_128_320	3862	3862	1792	-2422	route_007
anchor_003	beyond_321	3163	521	1936	-2229	route_007
anchor_004	envelope_0_127	659	0	-	-	-
anchor_004	approach_128_320	4338	3798	-1949	2230	route_010
anchor_004	beyond_321	1740	787	-1971	2184	route_010
anchor_005	envelope_0_127	655	0	-	-	-
anchor_005	approach_128_320	3720	3702	-139	2230	route_013
anchor_005	beyond_321	3211	1134	-171	2165	route_013
anchor_006	envelope_0_127	651	0	-	-	-
anchor_006	approach_128_320	2203	261	1841	2322	route_016
anchor_006	beyond_321	0	0	-	-	-
