seed	531802985935182545
start	route	kind	z_offset	first_host_west	first_host_east
anchor_001	route_001	approach	80	3	3
anchor_001	route_001	approach	100	3	3
anchor_001	route_001	approach	120	3	3
anchor_001	route_001	ordinary	pin	9	10
anchor_002	route_004	approach	80	14	3
anchor_002	route_004	approach	100	15	3
anchor_002	route_004	approach	120	16	3
anchor_002	route_004	ordinary	pin	9	11
anchor_003	route_007	approach	80	3	3
anchor_003	route_007	approach	100	3	3
anchor_003	route_007	approach	120	3	3
anchor_003	route_007	ordinary	pin	>40	9
anchor_004	route_010	approach	80	3	3
anchor_004	route_010	approach	100	3	3
anchor_004	route_010	approach	120	3	3
anchor_004	route_010	ordinary	pin	23	>40
anchor_005	route_013	approach	80	3	3
anchor_005	route_013	approach	100	3	3
anchor_005	route_013	approach	120	3	3
anchor_005	route_013	ordinary	pin	9	>40
anchor_006	route_016	approach	80	3	15
anchor_006	route_016	approach	100	3	17
anchor_006	route_016	approach	120	3	18
anchor_006	route_016	ordinary	pin	>40	14
