route	anchor	vertex	x	z	radius	heading_deg	turn_deg
route_001	anchor_001	1	-1800	-2550	0	-	-
route_001	anchor_001	2	-1800	-2422	128	0.0	-
route_001	anchor_001	3	-1835	-2389	161	-46.7	-46.7
route_001	anchor_001	4	-1930	-2355	195	-70.3	-23.6
route_001	anchor_001	5	-1965	-2322	228	-46.7	23.6
route_001	anchor_001	6_pin	-1975	-2175	375	-3.9	42.8
route_001	anchor_001	7	-1963	-2139	411	18.4	22.3
route_001	anchor_001	8	-1938	-2120	430	52.8	34.3
route_001	vertices	12	pinned_point_index	6
route_004	anchor_002	1	0	-2550	0	-	-
route_004	anchor_002	2	0	-2422	128	0.0	-
route_004	anchor_002	3	-14	-2368	182	-14.5	-14.5
route_004	anchor_002	4	-55	-2313	237	-36.7	-22.2
route_004	anchor_002	5	-69	-2259	291	-14.5	22.2
route_004	anchor_002	6_pin	-175	-2145	405	-42.9	-28.4
route_004	anchor_002	7	-140	-2070	480	25.0	67.9
route_004	anchor_002	8	-81	-2039	511	62.3	37.3
route_004	vertices	9	pinned_point_index	6
route_007	anchor_003	1	1800	-2550	0	-	-
route_007	anchor_003	2	1800	-2422	128	0.0	-
route_007	anchor_003	3	1835	-2392	158	49.4	49.4
route_007	anchor_003	4	1930	-2363	187	73.0	23.6
route_007	anchor_003	5	1965	-2333	217	49.4	-23.6
route_007	anchor_003	6_pin	1975	-2190	360	4.0	-45.4
route_007	anchor_003	7	1883	-2186	364	-87.5	-91.5
route_007	anchor_003	8	1824	-2140	410	-52.1	35.5
route_007	vertices	9	pinned_point_index	6
route_010	anchor_004	1	-1800	2550	0	-	-
route_010	anchor_004	2	-1800	2422	128	180.0	-
route_010	anchor_004	3	-1835	2389	161	-133.3	46.7
route_010	anchor_004	4	-1933	2356	194	-108.6	24.7
route_010	anchor_004	5	-1968	2323	227	-133.3	-24.7
route_010	anchor_004	6_pin	-1980	2175	375	-175.4	-42.0
route_010	anchor_004	7	-1889	2178	372	88.1	-96.5
route_010	anchor_004	8	-1829	2137	413	124.3	36.2
route_010	vertices	9	pinned_point_index	6
route_013	anchor_005	1	0	2550	0	-	-
route_013	anchor_005	2	0	2422	128	180.0	-
route_013	anchor_005	3	-35	2384	166	-137.4	42.6
route_013	anchor_005	4	-133	2347	203	-110.7	26.7
route_013	anchor_005	5	-168	2309	241	-137.4	-26.7
route_013	anchor_005	6_pin	-180	2155	395	-175.5	-38.2
route_013	anchor_005	7	-94	2165	385	83.4	-101.1
route_013	anchor_005	8	-34	2130	420	120.3	36.9
route_013	vertices	9	pinned_point_index	6
route_016	anchor_006	1	1800	2550	0	-	-
route_016	anchor_006	2	1800	2422	128	180.0	-
route_016	anchor_006	3	1815	2374	176	162.6	-17.4
route_016	anchor_006	4	1857	2325	225	139.4	-23.2
route_016	anchor_006	5	1872	2277	273	162.6	23.2
route_016	anchor_006	6_pin	1980	2175	375	133.4	-29.3
route_016	anchor_006	7	1951	2088	462	-161.6	65.1
route_016	anchor_006	8	1891	2047	503	-124.3	37.2
route_016	vertices	9	pinned_point_index	6
