kind	name	count	total	min	max	mean
metric	plan_us	92	17779321	27917	606083	193253.489
metric	writer_us	92	15390366	36303	359932	167286.587
metric	total_us	92	33169687	64986	900506	360540.076
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	93290	0	3420	1014.022
metric	r5_runs	92	1387648	6400	25825	15083.130
metric	vm_get_emerged_area_us	92	195	1	15	2.120
metric	vm_get_data_us	92	393140	4060	4883	4273.261
metric	vm_get_param2_data_us	92	393264	4057	4884	4274.609
metric	vm_get_light_data_us	92	487810	0	9267	5302.283
metric	vm_set_data_us	92	414260	0	7840	4502.826
metric	vm_set_param2_data_us	92	297641	0	7643	3235.228
metric	vm_set_lighting_us	92	8006	0	448	87.022
metric	vm_calc_lighting_us	92	328324	0	12807	3568.739
metric	vm_set_light_data_us	92	405269	0	7650	4405.098
metric	vm_update_liquids_us	92	55585	0	1273	604.185
writer_result	applied_clq	14	-	-	-	-
writer_result	applied_cl	1	-	-	-	-
writer_result	noop_equal_content	35	-	-	-	-
writer_result	applied_cplq	42	-	-	-	-
callbacks	all	92	-	-	-	-
