kind	name	count	total	min	max	mean
metric	plan_us	92	18287318	26576	641858	198775.196
metric	writer_us	92	16028479	36192	387829	174222.598
metric	total_us	92	34315797	64932	1016310	372997.793
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	93290	0	3420	1014.022
metric	r5_runs	92	1387648	6400	25825	15083.130
metric	vm_get_emerged_area_us	92	222	1	44	2.413
metric	vm_get_data_us	92	397345	4058	5307	4318.967
metric	vm_get_param2_data_us	92	396004	4053	5403	4304.391
metric	vm_get_light_data_us	92	493629	0	9234	5365.533
metric	vm_set_data_us	92	412900	0	7781	4488.043
metric	vm_set_param2_data_us	92	295296	0	7540	3209.739
metric	vm_set_lighting_us	92	7487	0	201	81.380
metric	vm_calc_lighting_us	92	328723	0	12695	3573.076
metric	vm_set_light_data_us	92	403582	0	7997	4386.761
metric	vm_update_liquids_us	92	54729	0	1188	594.880
writer_result	applied_clq	14	-	-	-	-
writer_result	applied_cl	1	-	-	-	-
writer_result	noop_equal_content	35	-	-	-	-
writer_result	applied_cplq	42	-	-	-	-
callbacks	all	92	-	-	-	-
