kind	name	count	total	min	max	mean
metric	plan_us	28	5786213	21106	395019	206650.464
metric	writer_us	28	7819991	120154	403341	279285.393
metric	total_us	28	13606204	153906	763580	485935.857
metric	columns	28	179200	6400	6400	6400.000
metric	candidate_cells	28	1372	49	49	49.000
metric	candidates	28	2781	0	472	99.321
metric	r5_runs	28	581683	6400	25790	20774.393
metric	vm_get_emerged_area_us	28	72	1	12	2.571
metric	vm_get_data_us	28	120014	4068	4533	4286.214
metric	vm_get_param2_data_us	28	119069	4060	4689	4252.464
metric	vm_get_light_data_us	28	241518	8148	9203	8625.643
metric	vm_set_data_us	28	203801	7006	7783	7278.607
metric	vm_set_param2_data_us	28	100707	0	8674	3596.679
metric	vm_set_lighting_us	28	4485	32	565	160.179
metric	vm_calc_lighting_us	28	152890	784	13789	5460.357
metric	vm_set_light_data_us	28	197310	6818	7417	7046.786
metric	vm_update_liquids_us	28	27928	911	1294	997.429
writer_result	applied_clq	14	-	-	-	-
writer_result	applied_cplq	14	-	-	-	-
callbacks	all	28	-	-	-	-
