kind	name	count	total	min	max	mean
metric	plan_us	28	5392628	17763	365899	192593.857
metric	writer_us	28	6423842	105019	417838	229422.929
metric	total_us	28	11816470	259550	629506	422016.786
metric	columns	28	179200	6400	6400	6400.000
metric	candidate_cells	28	1372	49	49	49.000
metric	candidates	28	2781	0	472	99.321
metric	r5_runs	28	581683	6400	25790	20774.393
metric	vm_get_emerged_area_us	28	72	1	11	2.571
metric	vm_get_data_us	28	112995	3793	4262	4035.536
metric	vm_get_param2_data_us	28	112843	3794	4339	4030.107
metric	vm_get_light_data_us	28	229789	7598	8738	8206.750
metric	vm_set_data_us	28	202061	6935	7488	7216.464
metric	vm_set_param2_data_us	28	98833	0	7362	3529.750
metric	vm_set_lighting_us	28	4206	37	289	150.214
metric	vm_calc_lighting_us	28	182607	789	12442	6521.679
metric	vm_set_light_data_us	28	200133	6748	9721	7147.607
metric	vm_update_liquids_us	28	27781	911	1360	992.179
writer_result	applied_clq	14	-	-	-	-
writer_result	applied_cplq	14	-	-	-	-
callbacks	all	28	-	-	-	-
