kind	name	count	total	min	max	mean
metric	plan_us	21	5164424	148553	390606	245924.952
metric	writer_us	21	5013571	190655	337109	238741.476
metric	total_us	21	10177995	369823	727715	484666.429
metric	columns	21	134400	6400	6400	6400.000
metric	candidate_cells	21	1029	49	49	49.000
metric	candidates	21	3972	0	944	189.143
metric	r5_runs	21	537553	25440	25779	25597.762
metric	vm_get_emerged_area_us	21	44	2	3	2.095
metric	vm_get_data_us	21	85844	3853	4331	4087.810
metric	vm_get_param2_data_us	21	86503	3877	4401	4119.190
metric	vm_get_light_data_us	21	174483	7838	9132	8308.714
metric	vm_set_data_us	21	152792	6973	7554	7275.810
metric	vm_set_param2_data_us	21	71518	0	7391	3405.619
metric	vm_set_lighting_us	21	3996	129	731	190.286
metric	vm_calc_lighting_us	21	97066	3028	7122	4622.190
metric	vm_set_light_data_us	21	149023	6763	7386	7096.333
metric	vm_update_liquids_us	21	21130	929	1301	1006.190
writer_result	applied_clq	11	-	-	-	-
writer_result	applied_cplq	10	-	-	-	-
callbacks	all	21	-	-	-	-
