kind	name	count	total	min	max	mean
metric	plan_us	21	4916151	135913	356971	234102.429
metric	writer_us	21	6567935	250057	359696	312758.810
metric	total_us	21	11484086	442965	645815	546861.238
metric	columns	21	134400	6400	6400	6400.000
metric	candidate_cells	21	1029	49	49	49.000
metric	candidates	21	3972	0	944	189.143
metric	r5_runs	21	537553	25440	25779	25597.762
metric	vm_get_emerged_area_us	21	55	2	5	2.619
metric	vm_get_data_us	21	92959	4340	5171	4426.619
metric	vm_get_param2_data_us	21	91893	4131	4663	4375.857
metric	vm_get_light_data_us	21	183846	8332	9356	8754.571
metric	vm_set_data_us	21	154174	7117	7601	7341.619
metric	vm_set_param2_data_us	21	71326	0	7247	3396.476
metric	vm_set_lighting_us	21	3558	131	300	169.429
metric	vm_calc_lighting_us	21	97907	3027	7175	4662.238
metric	vm_set_light_data_us	21	153337	6921	10390	7301.762
metric	vm_update_liquids_us	21	21258	923	1826	1012.286
writer_result	applied_clq	11	-	-	-	-
writer_result	applied_cplq	10	-	-	-	-
callbacks	all	21	-	-	-	-
