kind	name	count	total	min	max	mean
metric	plan_us	62	10737100	21228	365816	173179.032
metric	writer_us	62	13893129	76528	342059	224082.726
metric	total_us	62	24630229	106608	613073	397261.758
metric	columns	62	396800	6400	6400	6400.000
metric	candidate_cells	62	3038	49	49	49.000
metric	candidates	62	9780	0	1438	157.742
metric	r5_runs	62	1156663	6400	25790	18655.855
metric	vm_get_emerged_area_us	62	152	1	25	2.452
metric	vm_get_data_us	62	250862	3785	4347	4046.161
metric	vm_get_param2_data_us	62	249241	3789	4333	4020.016
metric	vm_get_light_data_us	62	509171	7608	9237	8212.435
metric	vm_set_data_us	62	446162	6937	7482	7196.161
metric	vm_set_param2_data_us	62	282654	0	7371	4558.935
metric	vm_set_lighting_us	62	9987	28	1233	161.081
metric	vm_calc_lighting_us	62	414971	859	12612	6693.081
metric	vm_set_light_data_us	62	437002	6749	8806	7048.419
metric	vm_update_liquids_us	62	59888	890	1209	965.935
writer_result	applied_clq	22	-	-	-	-
writer_result	applied_cplq	40	-	-	-	-
callbacks	all	62	-	-	-	-
