kind	name	count	total	min	max	mean
metric	plan_us	44	10783846	23939	436357	245087.409
metric	writer_us	44	11838824	82161	359307	269064.182
metric	total_us	44	22622670	270321	682551	514151.591
metric	columns	44	281600	6400	6400	6400.000
metric	candidate_cells	44	2156	49	49	49.000
metric	candidates	44	9468	0	1402	215.182
metric	r5_runs	44	1078759	6400	25779	24517.250
metric	vm_get_emerged_area_us	44	109	1	5	2.477
metric	vm_get_data_us	44	190320	4064	4768	4325.455
metric	vm_get_param2_data_us	44	189563	4056	4830	4308.250
metric	vm_get_light_data_us	44	381913	8119	9723	8679.841
metric	vm_set_data_us	44	317612	7004	7442	7218.455
metric	vm_set_param2_data_us	44	210752	0	7129	4789.818
metric	vm_set_lighting_us	44	6148	31	230	139.727
metric	vm_calc_lighting_us	44	219283	854	11488	4983.705
metric	vm_set_light_data_us	44	311178	6817	7485	7072.227
metric	vm_update_liquids_us	44	42827	904	1175	973.341
writer_result	applied_clq	14	-	-	-	-
writer_result	applied_cplq	30	-	-	-	-
callbacks	all	44	-	-	-	-
