kind	name	count	total	min	max	mean
metric	plan_us	44	10712493	108818	387613	243465.750
metric	writer_us	44	11775665	83487	388064	267628.750
metric	total_us	44	22488158	192305	657918	511094.500
metric	columns	44	281600	6400	6400	6400.000
metric	candidate_cells	44	2156	49	49	49.000
metric	candidates	44	9468	0	1402	215.182
metric	r5_runs	44	1078759	6400	25779	24517.250
metric	vm_get_emerged_area_us	44	95	1	5	2.159
metric	vm_get_data_us	44	178396	3795	4341	4054.455
metric	vm_get_param2_data_us	44	177106	3786	4346	4025.136
metric	vm_get_light_data_us	44	361447	7582	10648	8214.705
metric	vm_set_data_us	44	314763	6930	7474	7153.705
metric	vm_set_param2_data_us	44	211032	0	7118	4796.182
metric	vm_set_lighting_us	44	5967	32	216	135.614
metric	vm_calc_lighting_us	44	221175	875	11287	5026.705
metric	vm_set_light_data_us	44	308316	6742	8133	7007.182
metric	vm_update_liquids_us	44	42687	912	1200	970.159
writer_result	applied_clq	14	-	-	-	-
writer_result	applied_cplq	30	-	-	-	-
callbacks	all	44	-	-	-	-
