kind	name	count	total	min	max	mean
metric	plan_us	27	5611269	25791	364988	207824.778
metric	writer_us	27	10252404	168967	587814	379718.667
metric	total_us	27	15863673	194758	938293	587543.444
metric	columns	27	172800	6400	6400	6400.000
metric	candidate_cells	27	1323	49	49	49.000
metric	candidates	27	2439	0	472	90.333
metric	r5_runs	27	547154	6400	25790	20264.963
metric	vm_get_emerged_area_us	27	62	1	6	2.296
metric	vm_get_data_us	27	117918	4155	4731	4367.333
metric	vm_get_param2_data_us	27	116414	4072	4601	4311.630
metric	vm_get_light_data_us	27	232676	8123	8856	8617.630
metric	vm_set_data_us	27	198047	7005	7542	7335.074
metric	vm_set_param2_data_us	27	85463	0	7469	3165.296
metric	vm_set_lighting_us	27	4177	79	313	154.704
metric	vm_calc_lighting_us	27	135414	863	12099	5015.333
metric	vm_set_light_data_us	27	193218	6848	7423	7156.222
metric	vm_update_liquids_us	27	26169	905	1103	969.222
writer_result	applied_clq	15	-	-	-	-
writer_result	applied_cplq	12	-	-	-	-
callbacks	all	27	-	-	-	-
