kind	name	count	total	min	max	mean
metric	plan_us	21	5318167	174986	371104	253246.048
metric	writer_us	21	5216147	190276	323537	248387.952
metric	total_us	21	10534314	395560	653548	501634.000
metric	columns	21	134400	6400	6400	6400.000
metric	candidate_cells	21	1029	49	49	49.000
metric	candidates	21	3801	0	944	181.000
metric	r5_runs	21	533615	23012	25779	25410.238
metric	vm_get_emerged_area_us	21	50	1	7	2.381
metric	vm_get_data_us	21	92475	4229	4624	4403.571
metric	vm_get_param2_data_us	21	91849	4141	5156	4373.762
metric	vm_get_light_data_us	21	183280	8428	9589	8727.619
metric	vm_set_data_us	21	155471	7087	7717	7403.381
metric	vm_set_param2_data_us	21	86433	0	7542	4115.857
metric	vm_set_lighting_us	21	3812	105	318	181.524
metric	vm_calc_lighting_us	21	125739	3101	11646	5987.571
metric	vm_set_light_data_us	21	155744	6952	9805	7416.381
metric	vm_update_liquids_us	21	22116	941	1288	1053.143
writer_result	applied_clq	9	-	-	-	-
writer_result	applied_cplq	12	-	-	-	-
callbacks	all	21	-	-	-	-
