kind	name	count	total	min	max	mean
metric	plan_us	21	5477331	151334	390519	260825.286
metric	writer_us	21	5880187	221130	329563	280008.905
metric	total_us	21	11357518	464865	659556	540834.190
metric	columns	21	134400	6400	6400	6400.000
metric	candidate_cells	21	1029	49	49	49.000
metric	candidates	21	3801	0	944	181.000
metric	r5_runs	21	533615	23012	25779	25410.238
metric	vm_get_emerged_area_us	21	135	1	71	6.429
metric	vm_get_data_us	21	86118	3818	4428	4100.857
metric	vm_get_param2_data_us	21	86378	3832	4485	4113.238
metric	vm_get_light_data_us	21	175243	7846	10351	8344.905
metric	vm_set_data_us	21	159028	7074	8921	7572.762
metric	vm_set_param2_data_us	21	87624	0	8022	4172.571
metric	vm_set_lighting_us	21	4904	101	477	233.524
metric	vm_calc_lighting_us	21	127616	3039	12118	6076.952
metric	vm_set_light_data_us	21	149183	6795	7366	7103.952
metric	vm_update_liquids_us	21	21338	929	1196	1016.095
writer_result	applied_clq	9	-	-	-	-
writer_result	applied_cplq	12	-	-	-	-
callbacks	all	21	-	-	-	-
