kind	name	count	total	min	max	mean
metric	plan_us	24	6227386	166853	376899	259474.417
metric	writer_us	24	7041192	233924	380416	293383.000
metric	total_us	24	13268578	417754	680924	552857.417
metric	columns	24	153600	6400	6400	6400.000
metric	candidate_cells	24	1176	49	49	49.000
metric	candidates	24	8303	0	1402	345.958
metric	r5_runs	24	611017	24504	25779	25459.042
metric	vm_get_emerged_area_us	24	63	1	10	2.625
metric	vm_get_data_us	24	98979	3889	4558	4124.125
metric	vm_get_param2_data_us	24	98964	3827	4561	4123.500
metric	vm_get_light_data_us	24	196554	7799	9204	8189.750
metric	vm_set_data_us	24	175504	6972	7579	7312.667
metric	vm_set_param2_data_us	24	107254	0	7634	4468.917
metric	vm_set_lighting_us	24	4525	132	449	188.542
metric	vm_calc_lighting_us	24	103385	2898	7166	4307.708
metric	vm_set_light_data_us	24	170059	6787	7367	7085.792
metric	vm_update_liquids_us	24	24819	928	1306	1034.125
writer_result	applied_clq	9	-	-	-	-
writer_result	applied_cplq	15	-	-	-	-
callbacks	all	24	-	-	-	-
