kind	name	count	total	min	max	mean
metric	plan_us	24	5827299	159991	344774	242804.125
metric	writer_us	24	6743604	219194	361339	280983.500
metric	total_us	24	12570903	413839	651492	523787.625
metric	columns	24	153600	6400	6400	6400.000
metric	candidate_cells	24	1176	49	49	49.000
metric	candidates	24	8303	0	1402	345.958
metric	r5_runs	24	611017	24504	25779	25459.042
metric	vm_get_emerged_area_us	24	48	1	3	2.000
metric	vm_get_data_us	24	98091	3815	4429	4087.125
metric	vm_get_param2_data_us	24	97186	3834	4183	4049.417
metric	vm_get_light_data_us	24	200107	7904	8795	8337.792
metric	vm_set_data_us	24	175633	6987	7759	7318.042
metric	vm_set_param2_data_us	24	107906	0	7400	4496.083
metric	vm_set_lighting_us	24	4482	131	352	186.750
metric	vm_calc_lighting_us	24	104209	2859	6945	4342.042
metric	vm_set_light_data_us	24	170869	6776	7781	7119.542
metric	vm_update_liquids_us	24	24439	928	1226	1018.292
writer_result	applied_clq	9	-	-	-	-
writer_result	applied_cplq	15	-	-	-	-
callbacks	all	24	-	-	-	-
