kind	name	count	total	min	max	mean
metric	plan_us	92	18558292	29666	529867	201720.565
metric	writer_us	92	18044928	35369	429306	196140.522
metric	total_us	92	36603220	65134	943159	397861.087
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	92394	0	3627	1004.283
metric	r5_runs	92	1357332	6400	25797	14753.609
metric	vm_get_emerged_area_us	92	201	1	11	2.185
metric	vm_get_data_us	92	370669	3793	6788	4029.011
metric	vm_get_param2_data_us	92	369802	3788	6695	4019.587
metric	vm_get_light_data_us	92	570125	0	10862	6197.011
metric	vm_set_data_us	92	503054	0	7757	5467.978
metric	vm_set_param2_data_us	92	375445	0	7672	4080.924
metric	vm_set_lighting_us	92	8577	0	327	93.228
metric	vm_calc_lighting_us	92	445601	0	13124	4843.489
metric	vm_set_light_data_us	92	491261	0	7702	5339.793
metric	vm_update_liquids_us	92	69352	0	1365	753.826
writer_result	applied_clq	17	-	-	-	-
writer_result	noop_equal_content	22	-	-	-	-
writer_result	applied_cplq	53	-	-	-	-
callbacks	all	92	-	-	-	-
