seed	8675309
start	band	columns	claim_excluded	veg_excluded	host_claim	host_vegetation
anchor_001	pad_0_63	16129	16129	16129	0	0
anchor_001	apron_64_73	5480	5480	5480	0	0
anchor_001	blend_74_127	43416	43416	1216	724	42201
anchor_001	outside_128_160	38016	1305	794	37222	37222
anchor_002	pad_0_63	16129	16129	16129	0	0
anchor_002	apron_64_73	5480	5480	5480	0	0
anchor_002	blend_74_127	43416	43416	4521	4000	42204
anchor_002	outside_128_160	38016	5610	5099	37470	37470
anchor_003	pad_0_63	16129	16129	16129	0	0
anchor_003	apron_64_73	5480	5480	5480	0	0
anchor_003	blend_74_127	43416	43416	1217	696	42200
anchor_003	outside_128_160	38016	1406	895	37121	37121
anchor_004	pad_0_63	16129	16129	16129	0	0
anchor_004	apron_64_73	5480	5480	5480	0	0
anchor_004	blend_74_127	43416	43416	1199	735	42217
anchor_004	outside_128_160	38016	1292	801	37215	37215
anchor_005	pad_0_63	16129	16129	16129	0	0
anchor_005	apron_64_73	5480	5480	5480	0	0
anchor_005	blend_74_127	43416	43416	1198	740	42219
anchor_005	outside_128_160	38016	2486	1994	37305	37305
anchor_006	pad_0_63	16129	16129	16129	0	0
anchor_006	apron_64_73	5480	5480	5480	0	0
anchor_006	blend_74_127	43416	43416	1196	725	42220
anchor_006	outside_128_160	38016	1048	554	37462	37462
