kind	name	count	total	min	max	mean
metric	plan_us	92	19464068	33283	523489	211565.957
metric	writer_us	92	18741092	35964	494480	203707.522
metric	total_us	92	38205160	70495	961658	415273.478
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	104500	0	3586	1135.870
metric	r5_runs	92	1387648	6400	25825	15083.130
metric	vm_get_emerged_area_us	92	186	1	6	2.022
metric	vm_get_data_us	92	396799	4061	4611	4313.033
metric	vm_get_param2_data_us	92	396036	4058	4651	4304.739
metric	vm_get_light_data_us	92	496758	0	10961	5399.543
metric	vm_set_data_us	92	416953	0	7816	4532.098
metric	vm_set_param2_data_us	92	298988	0	7705	3249.870
metric	vm_set_lighting_us	92	7529	0	249	81.837
metric	vm_calc_lighting_us	92	329619	0	12792	3582.815
metric	vm_set_light_data_us	92	406492	0	7626	4418.391
metric	vm_update_liquids_us	92	55418	0	1183	602.370
writer_result	applied_clq	14	-	-	-	-
writer_result	applied_cl	1	-	-	-	-
writer_result	noop_equal_content	35	-	-	-	-
writer_result	applied_cplq	42	-	-	-	-
callbacks	all	92	-	-	-	-
