event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=23805682
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=11993124
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=13932398
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=577886
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=214708
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=639411
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=541788
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=230138
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=203211
event=mapchunk case=core mapchunk=-1872:128:-1552 kind=capital elapsed_us=1064370
event=mapchunk case=core mapchunk=-1792:128:-1552 kind=capital elapsed_us=687986
event=mapchunk case=core mapchunk=-1872:128:-1472 kind=capital elapsed_us=744010
event=mapchunk case=core mapchunk=-1792:128:-1472 kind=capital elapsed_us=558301
event=mapchunk case=plot_forge_charcoal mapchunk=-1792:128:-1632 kind=capital elapsed_us=666818
event=mapchunk case=plot_forge_smithy mapchunk=-1712:48:-1552 kind=capital elapsed_us=798858
event=mapchunk case=plot_forge_guild_house mapchunk=-1712:48:-1472 kind=capital elapsed_us=667915
event=mapchunk case=plot_forge_quench_court mapchunk=-1632:48:-1552 kind=capital elapsed_us=724912
event=mapchunk case=plot_forge_watch mapchunk=-1632:48:-1472 kind=capital elapsed_us=615292
event=mapchunk case=plot_forge_copse mapchunk=-1712:48:-1632 kind=capital elapsed_us=710785
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1792 kind=capital elapsed_us=987925
event=mapchunk case=run_avenue_south mapchunk=-1872:128:-1792 kind=capital elapsed_us=136895
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1712 kind=capital elapsed_us=864078
event=mapchunk case=run_avenue_south mapchunk=-1872:128:-1712 kind=capital elapsed_us=234226
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1632 kind=capital elapsed_us=906616
event=mapchunk case=run_avenue_south mapchunk=-1872:128:-1632 kind=capital elapsed_us=285898
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1552 kind=capital elapsed_us=868246
event=mapchunk case=run_avenue_north mapchunk=-1872:48:-1472 kind=capital elapsed_us=873507
event=mapchunk case=run_avenue_north mapchunk=-1872:48:-1392 kind=capital elapsed_us=850262
event=mapchunk case=run_avenue_north mapchunk=-1872:128:-1392 kind=capital elapsed_us=250137
event=mapchunk case=run_avenue_north mapchunk=-1872:48:-1312 kind=capital elapsed_us=735744
event=mapchunk case=run_avenue_north mapchunk=-1872:128:-1312 kind=capital elapsed_us=105446
event=mapchunk case=run_avenue_west mapchunk=-2112:48:-1552 kind=capital elapsed_us=869320
event=mapchunk case=run_avenue_west mapchunk=-2032:48:-1552 kind=capital elapsed_us=717601
event=mapchunk case=run_avenue_west mapchunk=-1952:48:-1552 kind=capital elapsed_us=726069
event=mapchunk case=run_avenue_west mapchunk=-2112:128:-1552 kind=capital elapsed_us=109965
event=mapchunk case=run_avenue_west mapchunk=-2032:128:-1552 kind=capital elapsed_us=365406
event=mapchunk case=run_avenue_west mapchunk=-1952:128:-1552 kind=capital elapsed_us=308745
event=mapchunk case=run_avenue_east mapchunk=-1792:48:-1552 kind=capital elapsed_us=1073618
event=mapchunk case=run_avenue_east mapchunk=-1552:48:-1552 kind=capital elapsed_us=969959
event=mapchunk case=run_avenue_east mapchunk=-1712:128:-1552 kind=capital elapsed_us=472359
event=mapchunk case=run_avenue_east mapchunk=-1632:128:-1552 kind=capital elapsed_us=258163
event=mapchunk case=run_avenue_east mapchunk=-1552:128:-1552 kind=capital elapsed_us=166077
event=mapchunk case=run_ring_west mapchunk=-1952:48:-1632 kind=capital elapsed_us=828749
event=mapchunk case=run_ring_west mapchunk=-1952:128:-1632 kind=capital elapsed_us=249513
event=mapchunk case=run_ring_west mapchunk=-1952:48:-1472 kind=capital elapsed_us=927030
event=mapchunk case=run_ring_west mapchunk=-1952:128:-1472 kind=capital elapsed_us=277286
event=mapchunk case=run_ring_east mapchunk=-1712:128:-1632 kind=capital elapsed_us=491165
event=mapchunk case=run_ring_east mapchunk=-1712:128:-1472 kind=capital elapsed_us=500955
event=mapchunk case=run_ring_south mapchunk=-1792:48:-1632 kind=capital elapsed_us=918457
event=mapchunk case=run_ring_north mapchunk=-1792:48:-1472 kind=capital elapsed_us=911660
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1792 kind=capital elapsed_us=1014307
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1792 kind=capital elapsed_us=148841
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1712 kind=capital elapsed_us=738383
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1712 kind=capital elapsed_us=105230
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1632 kind=capital elapsed_us=744545
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1632 kind=capital elapsed_us=106133
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1472 kind=capital elapsed_us=887595
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1472 kind=capital elapsed_us=110984
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1392 kind=capital elapsed_us=773818
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1392 kind=capital elapsed_us=114983
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1312 kind=capital elapsed_us=834962
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1312 kind=capital elapsed_us=138679
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1792 kind=capital elapsed_us=1032674
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1792 kind=capital elapsed_us=323991
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1712 kind=capital elapsed_us=826249
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1712 kind=capital elapsed_us=341641
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1632 kind=capital elapsed_us=956553
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1632 kind=capital elapsed_us=256487
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1472 kind=capital elapsed_us=1097702
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1472 kind=capital elapsed_us=169702
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1392 kind=capital elapsed_us=742190
