event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=23596699
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=13061824
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=14927129
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=534916
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=96166
event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=612688
event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=476562
event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=95229
event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=86941
event=mapchunk case=core mapchunk=-112:-32:-1552 kind=capital elapsed_us=987461
event=mapchunk case=core mapchunk=-32:-32:-1552 kind=capital elapsed_us=603684
event=mapchunk case=core mapchunk=-112:48:-1552 kind=capital elapsed_us=244179
event=mapchunk case=core mapchunk=-32:48:-1552 kind=capital elapsed_us=243843
event=mapchunk case=core mapchunk=-112:-32:-1472 kind=capital elapsed_us=593128
event=mapchunk case=core mapchunk=-32:-32:-1472 kind=capital elapsed_us=482009
event=mapchunk case=core mapchunk=-112:48:-1472 kind=capital elapsed_us=186044
event=mapchunk case=core mapchunk=-32:48:-1472 kind=capital elapsed_us=238332
event=mapchunk case=plot_market_granary mapchunk=48:-32:-1632 kind=capital elapsed_us=718729
event=mapchunk case=plot_market_stable mapchunk=48:48:-1632 kind=capital elapsed_us=196686
event=mapchunk case=plot_market_workshop mapchunk=128:-32:-1632 kind=capital elapsed_us=609009
event=mapchunk case=plot_market_watch mapchunk=128:48:-1632 kind=capital elapsed_us=173052
event=mapchunk case=plot_market_grove mapchunk=48:-32:-1712 kind=capital elapsed_us=634900
event=mapchunk case=plot_market_grove mapchunk=48:48:-1712 kind=capital elapsed_us=245639
event=mapchunk case=plot_market_orchard mapchunk=128:-32:-1712 kind=capital elapsed_us=501459
event=mapchunk case=plot_martial_barracks mapchunk=48:-32:-1472 kind=capital elapsed_us=575559
event=mapchunk case=plot_martial_barracks mapchunk=128:-32:-1472 kind=capital elapsed_us=611882
event=mapchunk case=plot_martial_barracks mapchunk=48:-32:-1392 kind=capital elapsed_us=605621
event=mapchunk case=plot_martial_barracks mapchunk=128:-32:-1392 kind=capital elapsed_us=511663
event=mapchunk case=plot_martial_armoury mapchunk=48:48:-1392 kind=capital elapsed_us=110283
event=mapchunk case=plot_martial_armoury mapchunk=128:48:-1392 kind=capital elapsed_us=98349
event=mapchunk case=plot_martial_armoury mapchunk=48:-32:-1312 kind=capital elapsed_us=602721
event=mapchunk case=plot_martial_armoury mapchunk=128:-32:-1312 kind=capital elapsed_us=526720
event=mapchunk case=plot_martial_armoury mapchunk=48:48:-1312 kind=capital elapsed_us=105849
event=mapchunk case=plot_martial_armoury mapchunk=128:48:-1312 kind=capital elapsed_us=162306
event=mapchunk case=plot_martial_wain_shed mapchunk=208:-32:-1472 kind=capital elapsed_us=689136
event=mapchunk case=plot_martial_wain_shed mapchunk=208:-32:-1392 kind=capital elapsed_us=610075
event=mapchunk case=plot_martial_watch_tower mapchunk=208:-32:-1312 kind=capital elapsed_us=579909
event=mapchunk case=plot_martial_watch_tower mapchunk=208:48:-1312 kind=capital elapsed_us=244583
event=mapchunk case=plot_lore_shrine mapchunk=-192:-32:-1472 kind=capital elapsed_us=726659
event=mapchunk case=plot_lore_shrine mapchunk=-192:48:-1472 kind=capital elapsed_us=93448
event=mapchunk case=plot_lore_scriptorium mapchunk=-272:-32:-1472 kind=capital elapsed_us=678378
event=mapchunk case=plot_lore_scriptorium mapchunk=-272:48:-1472 kind=capital elapsed_us=186277
event=mapchunk case=plot_lore_archive mapchunk=-192:-32:-1392 kind=capital elapsed_us=636520
event=mapchunk case=plot_lore_chapter_house mapchunk=-272:-32:-1392 kind=capital elapsed_us=543877
event=mapchunk case=plot_lore_quiet_grove mapchunk=-272:48:-1392 kind=capital elapsed_us=119976
event=mapchunk case=plot_homes_tavern mapchunk=-112:-32:-1632 kind=capital elapsed_us=834631
event=mapchunk case=plot_homes_tavern mapchunk=-112:48:-1632 kind=capital elapsed_us=221018
event=mapchunk case=plot_homes_well mapchunk=-112:-32:-1712 kind=capital elapsed_us=677975
event=mapchunk case=plot_homes_tenement mapchunk=-192:-32:-1632 kind=capital elapsed_us=608744
event=mapchunk case=plot_homes_bakehouse mapchunk=-192:-32:-1712 kind=capital elapsed_us=518237
event=mapchunk case=plot_homes_orchard mapchunk=-192:48:-1712 kind=capital elapsed_us=89138
