kind	seed	capital	step	land	climb0	climb1	climb2	climb3	climb4	climb5plus	max	unclimbable	per_mille	ceiling
capital_walk	531802985935182545	capital_dwarf	4	66049	40278	20582	3207	1915	53	14	7	5189	78	85
capital_walk	531802985935182545	capital_human	2	52637	45044	7322	247	5	16	3	5	271	5	15
capital_walk	531802985935182545	capital_elf	3	51134	44209	6738	123	57	1	6	8	187	3	15
capital_walk	531802985935182545	capital_undead	3	66049	56724	9127	120	78	0	0	3	198	2	15
capital_walk	531802985935182545	capital_orc	4	66049	57160	8698	114	62	15	0	4	191	2	15
capital_walk	531802985935182545	capital_troll	3	46395	35527	8232	1485	621	72	458	17	2636	56	65
capital_walk	8675309	capital_dwarf	4	66049	41292	20450	2905	1330	70	2	5	4307	65	75
capital_walk	8675309	capital_human	2	52637	43867	8182	520	38	28	2	5	588	11	20
capital_walk	8675309	capital_elf	3	51134	41210	9492	276	100	6	50	16	432	8	20
capital_walk	8675309	capital_undead	3	66049	53275	12400	300	71	3	0	4	374	5	20
capital_walk	8675309	capital_orc	4	66049	54713	11103	135	75	23	0	4	233	3	20
capital_walk	8675309	capital_troll	3	46395	35982	7221	1774	790	92	536	21	3192	68	80
capital_walk_digest	12	9d73265d2ca46906d3f6706cb31e914d85525652f9160530c22cce690d48047b
