plot	reference_x	reference_z	reference_y	perimeter_min	perimeter_max	perimeter_fall	perimeter_rise	footprint_min	footprint_max	footprint_fall	footprint_rise	submerged	submerged_margin	reference_wet	clear_to	columns
forge_charcoal	-1684	-1392	118	115	118	3	0	115	118	3	0	0	0	false	13	357
forge_pack_stable	-1680	-1344	117	114	118	3	1	114	118	3	1	0	0	false	11	357
forge_smithy	-1684	-1296	107	106	110	1	3	106	110	1	3	0	0	false	11	418
forge_guild_house	-1644	-1388	113	110	118	3	5	110	118	3	5	0	0	false	13	437
forge_quench_court	-1644	-1344	114	111	114	3	0	111	114	3	0	0	0	false	8	441
forge_watch	-1644	-1300	106	106	111	0	5	106	110	0	4	0	0	false	12	567
forge_copse	-1596	-1388	112	110	114	2	2	110	114	2	2	0	0	false	24	361
forge_ore_yard	-1596	-1344	110	110	110	0	0	110	110	0	0	0	0	false	13	357
forge_store	-1596	-1296	109	106	110	3	1	106	110	3	1	0	0	false	12	357
forge_ore_court	-1684	-1266	110	106	117	4	7	106	116	4	6	0	0	false	8	529
forge_charcoal_field	-1566	-1384	108	106	110	2	2	106	110	2	2	0	0	false	8	529
forge_slag_yard	-1568	-1268	102	102	106	0	4	102	106	0	4	0	0	false	8	289
forge_green	-1568	-1318	110	110	110	0	0	110	110	0	0	0	0	false	8	121
garrison_barracks	-1916	-1620	118	118	122	0	4	118	122	0	4	0	0	false	13	621
garrison_muster_hall	-1916	-1664	118	118	118	0	0	118	118	0	0	0	0	false	11	483
garrison_armoury	-1916	-1708	110	106	114	4	4	106	114	4	4	0	0	false	11	462
garrison_drill_yard	-1964	-1620	118	116	118	2	0	116	118	2	0	0	0	false	14	441
garrison_stable	-1960	-1664	117	114	118	3	1	114	118	3	1	0	0	false	11	399
garrison_quartermaster	-1960	-1708	110	110	114	0	4	110	113	0	3	0	0	false	12	399
garrison_wain_shed	-2004	-1620	122	118	122	4	0	118	122	4	0	0	0	false	9	437
garrison_serjeant	-2004	-1664	114	114	117	0	3	114	116	0	2	0	0	false	9	221
garrison_watch_tower	-2004	-1712	110	109	114	1	4	109	114	1	4	0	0	false	14	225
garrison_muster_field	-1884	-1708	113	109	114	4	1	109	114	4	1	0	0	false	8	529
garrison_pack_pen	-2018	-1588	121	115	122	6	1	115	122	6	1	0	0	false	8	529
garrison_wood_yard	-2032	-1704	114	114	115	0	1	114	114	0	0	0	0	false	8	289
garrison_green	-2028	-1656	118	115	118	3	0	115	118	3	0	0	0	false	8	121
deep_hall_of_record	-1680	-1620	117	114	118	3	1	114	118	3	1	0	0	false	21	437
deep_scriptorium	-1644	-1612	114	110	118	4	4	110	118	4	4	0	0	false	13	437
deep_memory_hall	-1600	-1612	105	102	111	3	6	102	110	3	5	0	0	false	11	483
deep_carvers	-1688	-1664	110	110	114	0	4	110	114	0	4	0	0	false	11	462
deep_lantern_court	-1644	-1664	110	107	114	3	4	107	113	3	3	0	0	false	8	441
deep_archive	-1600	-1664	106	106	110	0	4	106	109	0	3	0	0	false	12	399
deep_keeper	-1688	-1712	110	107	114	3	4	107	114	3	4	0	0	false	9	221
deep_lamp_store	-1644	-1708	109	106	113	3	4	106	111	3	2	0	0	false	9	437
deep_watch	-1600	-1708	106	104	109	2	3	104	107	2	1	0	0	false	14	225
deep_mushroom_garden	-1568	-1616	105	102	110	3	5	102	109	3	4	0	0	false	8	529
deep_barrow_terrace	-1720	-1732	110	108	114	2	4	108	114	2	4	0	0	false	8	529
deep_markers_yard	-1572	-1732	106	106	110	0	4	106	110	0	4	0	0	false	8	289
deep_green	-1638	-1732	106	106	106	0	0	106	106	0	0	0	0	false	8	121
terrace_market	-1920	-1428	126	126	126	0	0	126	126	0	0	0	0	false	9	231
terrace_brewhouse	-1964	-1428	122	118	126	4	4	118	126	4	4	0	0	false	11	462
terrace_alehouse	-2008	-1428	122	118	125	4	3	118	125	4	3	0	0	false	11	399
terrace_bakehouse	-1920	-1388	126	122	126	4	0	122	126	4	0	0	0	false	11	418
terrace_well_court	-1964	-1384	122	119	126	3	4	119	126	3	4	0	0	false	8	441
terrace_long_house	-2008	-1384	122	118	126	4	4	118	125	4	3	0	0	false	12	437
terrace_cottage_west	-1920	-1344	122	122	122	0	0	122	122	0	0	0	0	false	9	255
terrace_cottage_east	-1964	-1340	122	122	122	0	0	122	122	0	0	0	0	false	10	255
terrace_watch	-2004	-1340	122	122	122	0	0	122	122	0	0	0	0	false	14	225
terrace_kitchen_garden	-2034	-1352	118	114	121	4	3	114	120	4	2	0	0	false	8	529
terrace_goat_pasture	-1920	-1268	122	122	123	0	1	122	122	0	0	0	0	false	8	529
terrace_brew_court	-2032	-1268	125	122	126	3	1	122	126	3	1	0	0	false	8	289
terrace_green	-1984	-1268	126	126	126	0	0	126	126	0	0	0	0	false	8	121
