x	z	terrain_y	water
-288	-288	76	false
-284	-288	76	false
-280	-288	76	false
-276	-288	76	false
-272	-288	76	false
-268	-288	80	false
-264	-288	80	false
-260	-288	80	false
-256	-288	76	false
-252	-288	76	false
-248	-288	80	false
-244	-288	80	false
-240	-288	80	false
-236	-288	80	false
-232	-288	80	false
-228	-288	84	false
-224	-288	84	false
-220	-288	84	false
-216	-288	84	false
-212	-288	84	false
-208	-288	84	false
-204	-288	84	false
-200	-288	84	false
-196	-288	84	false
-192	-288	88	false
-188	-288	88	false
-184	-288	88	false
-180	-288	88	false
-176	-288	84	false
-172	-288	84	false
-168	-288	84	false
-164	-288	84	false
-160	-288	80	false
-156	-288	80	false
-152	-288	80	false
-148	-288	80	false
-144	-288	80	false
-140	-288	80	false
-136	-288	80	false
-132	-288	80	false
-128	-288	80	false
-124	-288	80	false
-120	-288	84	false
-116	-288	80	false
-112	-288	80	false
-108	-288	80	false
-104	-288	80	false
-100	-288	80	false
-96	-288	80	false
-92	-288	80	false
-88	-288	80	false
-84	-288	84	false
-80	-288	84	false
-76	-288	84	false
-72	-288	84	false
-68	-288	88	false
-64	-288	88	false
-60	-288	88	false
-56	-288	88	false
-52	-288	88	false
-48	-288	88	false
-44	-288	84	false
-40	-288	84	false
-36	-288	84	false
-32	-288	84	false
-28	-288	84	false
-24	-288	84	false
-20	-288	84	false
-16	-288	84	false
-12	-288	84	false
-8	-288	84	false
-4	-288	84	false
0	-288	84	false
4	-288	88	false
8	-288	88	false
12	-288	88	false
16	-288	88	false
20	-288	88	false
24	-288	88	false
28	-288	88	false
32	-288	88	false
36	-288	92	false
40	-288	92	false
44	-288	92	false
48	-288	92	false
52	-288	92	false
56	-288	92	false
60	-288	92	false
64	-288	92	false
68	-288	92	false
72	-288	92	false
76	-288	92	false
80	-288	92	false
84	-288	92	false
88	-288	96	false
92	-288	96	false
96	-288	96	false
100	-288	96	false
104	-288	96	false
108	-288	96	false
112	-288	96	false
116	-288	96	false
120	-288	96	false
124	-288	92	false
128	-288	92	false
132	-288	92	false
136	-288	92	false
140	-288	92	false
144	-288	96	false
148	-288	96	false
152	-288	96	false
156	-288	100	false
160	-288	100	false
164	-288	100	false
168	-288	100	false
172	-288	100	false
176	-288	100	false
180	-288	100	false
184	-288	96	false
188	-288	96	false
192	-288	96	false
196	-288	96	false
200	-288	96	false
204	-288	96	false
208	-288	96	false
212	-288	100	false
216	-288	100	false
220	-288	104	false
224	-288	104	false
228	-288	104	false
232	-288	104	false
236	-288	108	false
240	-288	108	false
244	-288	108	false
248	-288	108	false
252	-288	108	false
256	-288	104	false
260	-288	104	false
264	-288	104	false
268	-288	104	false
272	-288	104	false
276	-288	100	false
280	-288	100	false
284	-288	96	false
288	-288	96	false
-288	-284	76	false
-284	-284	76	false
-280	-284	76	false
-276	-284	76	false
-272	-284	76	false
-268	-284	76	false
-264	-284	80	false
-260	-284	76	false
-256	-284	76	false
-252	-284	76	false
-248	-284	80	false
-244	-284	80	false
-240	-284	80	false
-236	-284	80	false
-232	-284	80	false
-228	-284	84	false
-224	-284	84	false
-220	-284	84	false
-216	-284	84	false
-212	-284	84	false
-208	-284	84	false
-204	-284	84	false
-200	-284	84	false
-196	-284	84	false
-192	-284	84	false
-188	-284	84	false
-184	-284	84	false
-180	-284	84	false
-176	-284	84	false
-172	-284	84	false
-168	-284	84	false
-164	-284	84	false
-160	-284	80	false
-156	-284	80	false
-152	-284	80	false
-148	-284	80	false
-144	-284	80	false
-140	-284	80	false
-136	-284	80	false
-132	-284	80	false
-128	-284	80	false
-124	-284	80	false
-120	-284	80	false
-116	-284	80	false
-112	-284	80	false
-108	-284	80	false
-104	-284	80	false
-100	-284	80	false
-96	-284	80	false
-92	-284	80	false
-88	-284	80	false
-84	-284	80	false
-80	-284	84	false
-76	-284	84	false
-72	-284	84	false
-68	-284	88	false
-64	-284	88	false
-60	-284	88	false
