kind	quadrant	lot	x	z	verdict	worst_fall	worst_rise
lot	southeast	1	72	-72	legal	6	7
lot	southeast	2	116	-68	legal	6	4
lot	southeast	3	160	-72	legal	4	4
lot	southeast	4	68	-116	legal	5	7
lot	southeast	5	116	-116	legal	5	6
lot	southeast	6	160	-116	legal	6	7
lot	southeast	7	72	-164	legal	5	7
lot	southeast	8	116	-164	legal	6	5
lot	southeast	9	160	-160	legal	4	7
fill	southeast	1	212	-104	legal	6	6
fill	southeast	2	104	-208	legal	6	4
fill	southeast	3	200	-204	legal	6	4
fill	southeast	4	94	-160	legal	4	5
lot	northeast	1	72	72	legal	6	4
lot	northeast	2	72	116	legal	4	5
lot	northeast	3	72	160	legal	4	5
lot	northeast	4	116	52	legal	5	6
lot	northeast	5	116	116	legal	5	4
lot	northeast	6	116	160	legal	4	4
lot	northeast	7	160	72	legal	5	5
lot	northeast	8	160	116	legal	6	5
lot	northeast	9	160	160	legal	5	4
fill	northeast	1	104	208	legal	5	4
fill	northeast	2	208	104	legal	4	4
fill	northeast	3	200	200	legal	5	7
fill	northeast	4	160	94	legal	4	5
lot	northwest	1	-72	72	legal	5	5
lot	northwest	2	-116	72	legal	5	5
lot	northwest	3	-160	72	legal	4	7
lot	northwest	4	-72	116	legal	5	6
lot	northwest	5	-116	116	legal	5	5
lot	northwest	6	-160	116	legal	5	5
lot	northwest	7	-68	160	legal	4	7
lot	northwest	8	-116	160	legal	5	7
lot	northwest	9	-160	160	legal	4	4
fill	northwest	1	-208	104	legal	5	6
fill	northwest	2	-104	204	legal	4	7
fill	northwest	3	-200	196	legal	5	5
fill	northwest	4	-94	160	legal	6	6
lot	southwest	1	-76	-72	legal	5	7
lot	southwest	2	-72	-116	legal	4	7
lot	southwest	3	-72	-160	legal	6	5
lot	southwest	4	-116	-72	legal	6	6
lot	southwest	5	-112	-112	legal	6	6
lot	southwest	6	-116	-160	legal	4	4
lot	southwest	7	-160	-68	legal	4	7
lot	southwest	8	-204	-144	legal	5	7
lot	southwest	9	-160	-168	legal	6	7
fill	southwest	1	-104	-208	legal	6	7
fill	southwest	2	-212	-104	legal	6	6
fill	southwest	3	-204	-200	legal	6	7
fill	southwest	4	-168	-94	legal	6	6

seeds	9	clear	9
every gor_drazhak lot is dry, stands inside its skirt and fits under its own roof, on 9 worlds
