rows	156	plots	52	illegal	0
worst perimeter fall	6	warren_cook_court	(skirt 6)
worst rise	8	bone_barrow
plot	worst_fall	worst_rise	clear
bazaar_armourer	4	4	8
bazaar_brewhouse	4	4	8
bazaar_butcher	2	6	8
bazaar_carver	4	1	8
bazaar_drying_floor	3	3	8
bazaar_fire_court	1	3	8
bazaar_house	1	3	8
bazaar_smithy	4	3	8
bazaar_spoil_heap	5	3	8
bazaar_stock_pen	4	5	8
bazaar_store	3	5	13
bazaar_tannery	4	3	9
bazaar_wain_yard	4	4	9
bone_ancestor_field	4	6	8
bone_ash_court	1	3	8
bone_barrow	4	8	8
bone_candle_court	2	4	8
bone_herb_house	4	4	8
bone_quarry	5	7	8
bone_reader_hall	3	4	13
bone_scrub_garden	3	1	8
bone_shaman_house	2	4	8
bone_spirit_hall	4	4	22
bone_spoil_shelf	4	3	8
bone_store	2	5	13
bone_totem_court	5	4	8
war_arena	4	5	8
war_armoury	4	3	8
war_barracks	4	1	13
war_beast_pen	4	3	11
war_chief_house	3	4	8
war_drill_yard	4	4	14
war_guard_fire	1	3	8
war_muster_field	4	4	8
war_quartermaster	4	3	12
war_remount_paddock	4	3	8
war_wain_shed	3	4	9
war_watch_tower	3	4	14
war_wood_yard	4	3	8
warren_clan_ground	5	6	8
warren_clan_house	2	4	12
warren_cook_court	6	3	8
warren_dry_garden	5	4	8
warren_fuel_yard	0	4	8
warren_green	2	1	8
warren_house_bone	4	1	8
warren_house_spear	4	4	8
warren_house_tusk	3	1	8
warren_round_lodge	2	3	9
warren_store	3	5	13
warren_story_fire	1	5	8
warren_weaver	4	2	9
