# grug_wp13_highcourt_field_v1 reach=250 anchor=0,40,-1500
# z	heights(x=-reach..reach)	land(1=land)
-250	46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 42 38 38 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 31 36 36 36 36 36 38 38 42 44 44 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 42 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 48 46 46 46 46 46 46 46 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 54 54 54 54 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-249	46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 46 44 44 42 38 38 38 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 36 38 38 42 42 44 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 45 45 45 45 45 45 45 46 46 46 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 54 54 54 54 54 54 54 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 50 50 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 56 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-248	48 46 46 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 42 42 42 38 38 38 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 38 38 38 42 44 44 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 54 54 54 54 54 54 54 54 54 54 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-247	46 48 46 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 42 42 42 42 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 42 42 42 38 38 38 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 36 38 40 42 44 44 44 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 54 54 54 54 54 54 54 54 54 54 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 56 56 54 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-246	48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 42 38 38 36 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 36 38 40 42 42 44 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 54 54 54 54 54 54 54 54 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 50 50 50 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 56 56 56 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-245	48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 42 38 38 38 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 38 38 40 42 44 46 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 56 56 56 56 56 56 56 56 56 56 56 56 56 56 54 54 54 54 56 56 56 54 54 54 54 54 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 56 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-244	48 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 44 44 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 44 44 42 42 38 38 38 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 38 38 38 42 44 46 46 46 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 56 56 56 56 56 56 56 56 56 56 54 54 54 54 54 54 54 54 54 54 54 54 54 54 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 56 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-243	48 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 44 44 42 42 42 38 38 36 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 36 38 38 42 44 44 46 46 46 46 46 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 52 52 52 52 52 52 52 52 52 50 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 48 50 50 50 50 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 56 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-242	48 48 48 48 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 40 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 44 44 44 42 42 38 38 38 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 36 38 38 38 42 44 44 46 48 48 46 46 48 48 48 48 48 48 48 50 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 52 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 52 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 50 50 50 48 48 48 48 48 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
-241	48 48 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 40 40 40 40 40 40 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 44 44 44 44 44 44 44 44 44 44 42 42 42 38 38 38 36 36 36 36 36 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 36 36 36 36 38 38 38 42 44 44 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 46 46 46 46 46 46 46 46 46 46 46 44 44 44 44 44 44 44 44 44 44 44 46 46 46 46 46 46 46 46 46 46 46 46 48 48 48 48 48 48 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 52 52 50 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 52 52 52 52 52 52 52 52 52 52 50 50 50 50 50 50 50 50 50 50 50 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 52 52 52 54 54 54 56 56 56 56 56	111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
