x	z	terrain_y	water
-288	-288	102	false
-284	-288	101	false
-280	-288	99	false
-276	-288	99	false
-272	-288	99	false
-268	-288	99	false
-264	-288	99	false
-260	-288	99	false
-256	-288	99	false
-252	-288	99	false
-248	-288	98	false
-244	-288	99	false
-240	-288	99	false
-236	-288	99	false
-232	-288	101	false
-228	-288	102	false
-224	-288	102	false
-220	-288	104	false
-216	-288	105	false
-212	-288	105	false
-208	-288	105	false
-204	-288	105	false
-200	-288	105	false
-196	-288	105	false
-192	-288	105	false
-188	-288	105	false
-184	-288	105	false
-180	-288	105	false
-176	-288	105	false
-172	-288	105	false
-168	-288	103	false
-164	-288	102	false
-160	-288	101	false
-156	-288	99	false
-152	-288	96	false
-148	-288	93	false
-144	-288	91	false
-140	-288	90	false
-136	-288	90	false
-132	-288	90	false
-128	-288	90	false
-124	-288	91	false
-120	-288	91	false
-116	-288	93	false
-112	-288	93	false
-108	-288	93	false
-104	-288	94	false
-100	-288	96	false
-96	-288	96	false
-92	-288	97	false
-88	-288	97	false
-84	-288	99	false
-80	-288	99	false
-76	-288	99	false
-72	-288	99	false
-68	-288	99	false
-64	-288	99	false
-60	-288	99	false
-56	-288	99	false
-52	-288	99	false
-48	-288	99	false
-44	-288	97	false
-40	-288	96	false
-36	-288	96	false
-32	-288	96	false
-28	-288	96	false
-24	-288	96	false
-20	-288	96	false
-16	-288	96	false
-12	-288	96	false
-8	-288	96	false
-4	-288	96	false
0	-288	95	false
4	-288	93	false
8	-288	93	false
12	-288	91	false
16	-288	90	false
20	-288	90	false
24	-288	90	false
28	-288	92	false
32	-288	93	false
36	-288	93	false
40	-288	91	false
44	-288	90	false
48	-288	90	false
52	-288	90	false
56	-288	90	false
60	-288	90	false
64	-288	90	false
68	-288	91	false
72	-288	93	false
76	-288	93	false
80	-288	94	false
84	-288	94	false
88	-288	93	false
92	-288	93	false
96	-288	93	false
100	-288	91	false
104	-288	90	false
108	-288	90	false
112	-288	89	false
116	-288	88	false
120	-288	87	false
124	-288	87	false
128	-288	87	false
132	-288	87	false
136	-288	89	false
140	-288	90	false
144	-288	90	false
148	-288	90	false
152	-288	90	false
156	-288	91	false
160	-288	93	false
164	-288	93	false
168	-288	94	false
172	-288	96	false
176	-288	96	false
180	-288	96	false
184	-288	96	false
188	-288	96	false
192	-288	96	false
196	-288	96	false
200	-288	94	false
204	-288	93	false
208	-288	93	false
212	-288	93	false
216	-288	93	false
220	-288	91	false
224	-288	90	false
228	-288	90	false
232	-288	90	false
236	-288	90	false
240	-288	90	false
244	-288	90	false
248	-288	90	false
252	-288	90	false
256	-288	90	false
260	-288	88	false
264	-288	87	false
268	-288	87	false
272	-288	87	false
276	-288	87	false
280	-288	87	false
284	-288	87	false
288	-288	87	false
