# Kezamba's four gate points against Lane R's route ends, nine fixture seeds.
# R.* from tools/wp13/route_gates.lua <repo> <seed> --strict (gate rows,
# zone kragmar_kezamba); T.* from tools/wp13/kezamba_lots.lua <repo> gates.
# R.terr is the free-terrain height route_gates reads at the gate point and
# R.road the height Lane R's route arrives at; T.terr is what
# kezamba_ramp.gate_level reads for the same column and T.road the height the
# composition's avenue actually arrives at. T.ramp is the number of ramp
# columns kezamba_ramp had to rebuild.

seed	side	R.terr	R.road	R.step	T.terr	T.road	T.step	T.ramp	T.float	agree
531802985935182545	west	37	37	0	37	37	0	0	0	yes
531802985935182545	east	44	44	0	44	44	0	0	0	yes
531802985935182545	south	76	76	0	76	76	0	0	0	yes
531802985935182545	north	90	90	0	90	90	0	0	0	yes
8675309	west	33	33	0	33	33	0	0	0	yes
8675309	east	33	33	0	33	33	0	0	0	yes
8675309	south	90	90	0	90	90	0	0	0	yes
8675309	north	72	72	0	72	72	0	0	0	yes
15912857179583385436	west	37	37	0	37	37	0	0	0	yes
15912857179583385436	east	44	44	0	44	44	0	0	0	yes
15912857179583385436	south	75	75	0	75	75	0	0	0	yes
15912857179583385436	north	74	74	0	74	74	0	0	0	yes
0	west	27	27	0	27	27	0	0	0	yes
0	east	21	21	0	21	21	0	0	0	yes
0	south	72	72	0	72	72	0	0	0	yes
0	north	52	52	0	52	52	0	0	0	yes
1	west	33	33	0	33	33	0	0	0	yes
1	east	39	39	0	39	39	0	0	0	yes
1	south	72	72	0	72	72	0	0	0	yes
1	north	71	71	0	71	71	0	0	0	yes
2	west	36	36	0	36	36	0	0	0	yes
2	east	28	28	0	28	28	0	0	0	yes
2	south	58	58	0	58	58	0	0	0	yes
2	north	59	59	0	59	59	0	0	0	yes
42	west	39	39	0	39	39	0	0	0	yes
42	east	43	43	0	43	43	0	0	0	yes
42	south	84	84	0	84	84	0	0	0	yes
42	north	80	80	0	80	80	0	0	0	yes
12345	west	41	41	0	41	41	0	0	0	yes
12345	east	39	39	0	39	39	0	0	0	yes
12345	south	96	96	0	96	96	0	0	0	yes
12345	north	73	73	0	73	73	0	0	0	yes
999999999	west	27	27	0	27	27	0	0	0	yes
999999999	east	34	34	0	34	34	0	0	0	yes
999999999	south	69	69	0	69	69	0	0	0	yes
999999999	north	75	75	0	75	75	0	0	0	yes

pairs=36 disagreements=0 worst_R_step=0 worst_T_step=0 ramp_columns=0 floating=0
