kind	seed	run	gate	terrain	road	step	ramp	drop	floating	on_water/on_deck	cells
kezamba_gate	531802985935182545	avenue_south	-256	76	76	0	2	3	0	0/0	2931
kezamba_gate	531802985935182545	avenue_north	256	90	90	0	1	1	0	491/0	4076
kezamba_gate	531802985935182545	avenue_west	-256	37	37	0	8	16	0	0/0	2817
kezamba_gate	531802985935182545	avenue_east	256	44	44	0	8	16	0	525/0	2933
kezamba_gate	8675309	avenue_south	-256	90	90	0	6	12	0	0/0	8857
kezamba_gate	8675309	avenue_north	256	72	72	0	1	1	0	491/0	3231
kezamba_gate	8675309	avenue_west	-256	33	33	0	1	1	0	0/0	1915
kezamba_gate	8675309	avenue_east	256	33	33	0	14	27	0	525/0	6128
kezamba_gate	15912857179583385436	avenue_south	-256	75	75	0	2	4	0	0/0	3742
kezamba_gate	15912857179583385436	avenue_north	256	74	74	0	0	0	0	491/0	2578
kezamba_gate	15912857179583385436	avenue_west	-256	37	37	0	8	16	0	0/0	3929
kezamba_gate	15912857179583385436	avenue_east	256	44	44	0	5	9	0	525/0	2778
kezamba_gate	0	avenue_south	-256	72	72	0	1	1	0	0/0	4832
kezamba_gate	0	avenue_north	256	52	52	0	1	1	0	491/0	4001
kezamba_gate	0	avenue_west	-256	27	27	0	5	9	0	0/0	3719
kezamba_gate	0	avenue_east	256	21	21	0	0	0	0	525/0	4455
kezamba_gate	1	avenue_south	-256	72	72	0	2	4	0	0/0	3411
kezamba_gate	1	avenue_north	256	71	71	0	0	0	0	491/0	3331
kezamba_gate	1	avenue_west	-256	33	33	0	4	8	0	0/0	1940
kezamba_gate	1	avenue_east	256	39	39	0	6	11	0	525/0	2480
kezamba_gate	2	avenue_south	-256	58	58	0	1	1	0	0/0	3565
kezamba_gate	2	avenue_north	256	59	59	0	0	0	0	491/0	2800
kezamba_gate	2	avenue_west	-256	36	36	0	4	8	0	0/0	2310
kezamba_gate	2	avenue_east	256	28	28	0	2	2	0	525/0	3588
kezamba_gate	42	avenue_south	-256	84	84	0	4	7	0	0/0	5190
kezamba_gate	42	avenue_north	256	80	80	0	1	1	0	491/0	3523
kezamba_gate	42	avenue_west	-256	39	39	0	0	0	0	0/0	2202
kezamba_gate	42	avenue_east	256	43	43	0	4	7	0	525/0	2269
kezamba_gate	12345	avenue_south	-256	96	96	0	7	13	0	0/0	11235
kezamba_gate	12345	avenue_north	256	73	73	0	0	0	0	491/0	3816
kezamba_gate	12345	avenue_west	-256	41	41	0	2	3	0	0/0	2277
kezamba_gate	12345	avenue_east	256	39	39	0	2	3	0	525/0	2079
kezamba_gate	999999999	avenue_south	-256	69	69	0	1	1	0	0/0	4291
kezamba_gate	999999999	avenue_north	256	75	75	0	0	0	0	491/0	4545
kezamba_gate	999999999	avenue_west	-256	27	27	0	0	0	0	0/0	2257
kezamba_gate	999999999	avenue_east	256	34	34	0	1	1	0	525/0	3046
kezamba_gates_worst	step	0	-	-	floating	0	-	ceiling	1
kezamba_gates PASS: every avenue arrives at its gate point within 1 node of the terrain with nothing floating, on all 9 seeds
