# grug_wp13_lane_routes_v1 seed=531802985935182545 mode=legacy min_clear=3
# spanned_columns=110 illegal=17 walk_faults=0 cross_faults=0 cuts=0 cut_faults=0
capital	run	lane	x	road_y	z	natural_y	deck_y	clear	verdict
highcourt	ring_west	0	-96	35	-1469	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1469	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1469	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1468	35	40	3	under_clear
highcourt	ring_west	-1	-97	35	-1468	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1468	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1468	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1468	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1467	35	40	3	under_clear
highcourt	ring_west	-1	-97	35	-1467	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1467	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1467	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1467	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1466	35	40	3	under_clear
highcourt	ring_west	-1	-97	35	-1466	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1466	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1466	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1466	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1465	35	40	3	under_clear
highcourt	ring_west	-1	-97	35	-1465	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1465	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1465	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1465	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1464	35	40	3	under_clear
highcourt	ring_west	-1	-97	35	-1464	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1464	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1464	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1464	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1463	35	40	3	under_clear
