seed	run	spans
531802985935182545	edge_west	-143..-80
531802985935182545	edge_east	-
531802985935182545	edge_south	-
531802985935182545	edge_north	-
8675309	edge_west	-143..-80
8675309	edge_east	-
8675309	edge_south	-
8675309	edge_north	-
15912857179583385436	edge_west	-143..-80
15912857179583385436	edge_east	-
15912857179583385436	edge_south	-
15912857179583385436	edge_north	-
0	edge_west	-143..-80
0	edge_east	-
0	edge_south	-
0	edge_north	-
1	edge_west	-143..-80
1	edge_east	-
1	edge_south	-
1	edge_north	-
2	edge_west	-143..-80
2	edge_east	-
2	edge_south	-
2	edge_north	-
42	edge_west	-143..-80
42	edge_east	-
42	edge_south	-
42	edge_north	-
12345	edge_west	-143..-80
12345	edge_east	-
12345	edge_south	-
12345	edge_north	-
999999999	edge_west	-143..-80
999999999	edge_east	-
999999999	edge_south	-
999999999	edge_north	-

every edge run's water spans are the committed ones, and the same on all nine seeds
