quadrant	kind	slot	x	z	verdict	worst_fall	worst_rise
southeast	plot	1	72	-74	legal	3	6
southeast	plot	2	124	-72	legal	5	5
southeast	plot	3	176	-72	legal	3	6
southeast	plot	4	72	-126	legal	5	6
southeast	plot	5	124	-118	legal	6	6
southeast	plot	6	176	-124	legal	6	6
southeast	plot	7	72	-176	legal	3	6
southeast	plot	8	124	-176	legal	3	5
southeast	plot	9	178	-166	legal	5	6
southeast	fill	1	216	-104	legal	5	5
southeast	fill	2	80	-206	legal	5	6
southeast	fill	3	210	-208	legal	6	4
southeast	fill	4	108	-148	legal	3	3
northeast	plot	1	46	206	legal	6	6
northeast	plot	2	182	234	legal	6	5
northeast	plot	3	218	214	legal	6	5
northeast	fill	1	72	214	legal	5	6
northeast	fill	2	158	232	legal	5	6
northwest	plot	1	-72	76	legal	5	6
northwest	plot	2	-124	72	legal	5	3
northwest	plot	3	-174	72	legal	4	6
northwest	plot	4	-72	124	legal	5	6
northwest	plot	5	-124	124	legal	4	6
northwest	plot	6	-180	122	legal	6	6
northwest	plot	7	-72	176	legal	4	5
northwest	plot	8	-124	176	legal	6	4
northwest	plot	9	-166	162	legal	6	6
northwest	fill	1	-216	104	legal	5	6
northwest	fill	2	-96	206	legal	3	6
northwest	fill	3	-208	212	legal	6	5
northwest	fill	4	-108	148	legal	2	3
southwest	plot	1	-78	-72	legal	5	6
southwest	plot	2	-72	-124	legal	5	6
southwest	plot	3	-72	-176	legal	3	5
southwest	plot	4	-124	-72	legal	3	4
southwest	plot	5	-124	-124	legal	5	6
southwest	plot	6	-124	-176	legal	4	4
southwest	plot	7	-176	-78	legal	6	6
southwest	plot	8	-176	-124	legal	6	6
southwest	plot	9	-170	-168	legal	3	6
southwest	fill	1	-88	-206	legal	3	6
southwest	fill	2	-216	-104	legal	4	5
southwest	fill	3	-214	-210	legal	6	5
southwest	fill	4	-148	-108	legal	2	4

every Lethariel lot is dry, inside the skirt and under its own roof on all 9 seeds
