ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=15912857179583385436 manifest=1b6b78f5cf8cdad8c021bd8eee9bb3a7062f4cb4e83f5f98466a6cb226f3d799 sockets_registered=711 anchor=1800,36,-1500 mode=full build_us=module_load=19230,core=184104,plot_market_granary=10260,plot_market_stable=7117,plot_market_bowyer=9617,plot_market_weaver=9102,plot_market_fountain=3487,plot_market_watch=7368,plot_market_grove=8672,plot_market_orchard=6725,plot_market_bakehouse=6864,plot_market_gardens=3970,plot_market_close=3783,plot_market_paddock=1924,plot_market_green=874,plot_martial_barracks=7584,plot_martial_armoury=7836,plot_martial_tower=3894,plot_martial_hall=8101,plot_martial_stable=5637,plot_martial_store=5738,plot_martial_grove=7623,plot_martial_lodge=3652,plot_martial_bough=3505,plot_martial_lawn=3473,plot_martial_butts=3292,plot_martial_woodyard=1972,plot_martial_mess=775,plot_mere_shrine=2196,plot_mere_lore_hall=7772,plot_mere_mourning=7657,plot_mere_stages=2476,plot_mere_walk=904,plot_homes_terrace_west=3461,plot_homes_terrace_east=3112,plot_homes_longhouse=6172,plot_homes_brewhouse=6216,plot_homes_carver=6903,plot_homes_feast_hall=6922,plot_homes_bough=3188,plot_homes_court=2745,plot_homes_grove=7177,plot_homes_gardens=3779,plot_homes_singing_grove=3423,plot_homes_yard=1711,plot_homes_green=775
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=19230
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=184104
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=10260
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=7117
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=9617
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=9102
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=3487
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=7368
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=8672
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=6725
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=6864
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=3970
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=3783
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=1924
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=874
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=7584
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=7836
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=3894
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=8101
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=5637
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=5738
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=7623
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3652
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3505
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3473
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3292
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1972
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=775
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2196
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=7772
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=7657
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2476
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=904
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3461
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=3112
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=6172
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=6216
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=6903
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=6922
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=3188
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=2745
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=7177
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3779
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3423
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=1711
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=775
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=253
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=104
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=24698132
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=14139467
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=14865955
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=564500
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=182627
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=716853
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=557085
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=160298
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=155986
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1808:-32:-1632 kind=capital elapsed_us=748274
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_stable mapchunk=1888:-32:-1632 kind=capital elapsed_us=773474
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1968:-32:-1632 kind=capital elapsed_us=779509
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1888:48:-1632 kind=capital elapsed_us=121220
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1968:48:-1632 kind=capital elapsed_us=185371
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1808:-32:-1712 kind=capital elapsed_us=733706
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1888:-32:-1712 kind=capital elapsed_us=650895
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1968:-32:-1712 kind=capital elapsed_us=677646
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1888:48:-1712 kind=capital elapsed_us=103626
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1968:48:-1712 kind=capital elapsed_us=252081
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1808:48:-1712 kind=capital elapsed_us=103142
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1808:-32:-1792 kind=capital elapsed_us=773807
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1888:-32:-1792 kind=capital elapsed_us=679652
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1968:48:-1792 kind=capital elapsed_us=482134
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1472 kind=capital elapsed_us=896489
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_tower mapchunk=1568:-32:-1472 kind=capital elapsed_us=738619
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_tower mapchunk=1568:48:-1472 kind=capital elapsed_us=110178
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1648:-32:-1392 kind=capital elapsed_us=760010
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1728:-32:-1392 kind=capital elapsed_us=722461
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_store mapchunk=1568:-32:-1392 kind=capital elapsed_us=657003
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=104708
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=105965
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_butts mapchunk=1648:-32:-1312 kind=capital elapsed_us=781818
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1312 kind=capital elapsed_us=530077
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=876756
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=785914
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:-32:-1312 kind=capital elapsed_us=588020
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=267101
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1648:-32:-1632 kind=capital elapsed_us=972419
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1728:-32:-1632 kind=capital elapsed_us=713229
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1648:-32:-1712 kind=capital elapsed_us=751294
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1728:-32:-1712 kind=capital elapsed_us=647157
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_bough mapchunk=1568:-32:-1632 kind=capital elapsed_us=820454
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_court mapchunk=1568:-32:-1712 kind=capital elapsed_us=627903
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_grove mapchunk=1568:48:-1712 kind=capital elapsed_us=105499
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_gardens mapchunk=1648:-32:-1792 kind=capital elapsed_us=783603
