ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=531802985935182545 manifest=8a0ed5d2932e32a4f2815825941d43c38301a1771170cfdca4a4378a5a9e9ee3 sockets_registered=711 anchor=1800,41,-1500 mode=full build_us=module_load=18541,core=176944,plot_market_granary=9139,plot_market_stable=6451,plot_market_bowyer=8322,plot_market_weaver=8124,plot_market_fountain=3254,plot_market_watch=6761,plot_market_grove=7734,plot_market_orchard=6162,plot_market_bakehouse=5977,plot_market_gardens=3720,plot_market_close=3592,plot_market_paddock=1772,plot_market_green=818,plot_martial_barracks=6849,plot_martial_armoury=7131,plot_martial_tower=3701,plot_martial_hall=6726,plot_martial_stable=4962,plot_martial_store=5737,plot_martial_grove=6974,plot_martial_lodge=3282,plot_martial_bough=3346,plot_martial_lawn=3157,plot_martial_butts=3135,plot_martial_woodyard=1658,plot_martial_mess=728,plot_mere_shrine=2006,plot_mere_lore_hall=7032,plot_mere_mourning=6568,plot_mere_stages=2185,plot_mere_walk=741,plot_homes_terrace_west=3270,plot_homes_terrace_east=2861,plot_homes_longhouse=5050,plot_homes_brewhouse=5891,plot_homes_carver=6126,plot_homes_feast_hall=6276,plot_homes_bough=2786,plot_homes_court=2566,plot_homes_grove=6570,plot_homes_gardens=3277,plot_homes_singing_grove=3258,plot_homes_yard=1674,plot_homes_green=732
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=18541
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=176944
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=9139
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=6451
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=8322
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=8124
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=3254
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=6761
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=7734
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=6162
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=5977
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=3720
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=3592
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=1772
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=818
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=6849
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=7131
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=3701
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=6726
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=4962
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=5737
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=6974
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3282
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3346
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3157
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3135
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1658
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=728
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2006
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=7032
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=6568
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2185
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=741
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3270
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=2861
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=5050
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=5891
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=6126
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=6276
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=2786
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=2566
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=6570
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3277
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3258
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=1674
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=732
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=253
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=112
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=24121013
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=13219393
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=13684153
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=588213
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=242438
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=669026
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=495110
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=217769
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=218432
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1808:-32:-1632 kind=capital elapsed_us=744711
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1808:48:-1632 kind=capital elapsed_us=230237
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_stable mapchunk=1888:-32:-1632 kind=capital elapsed_us=748393
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_stable mapchunk=1888:48:-1632 kind=capital elapsed_us=252309
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1968:-32:-1632 kind=capital elapsed_us=716122
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1968:48:-1632 kind=capital elapsed_us=253878
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1808:-32:-1712 kind=capital elapsed_us=752031
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1808:48:-1712 kind=capital elapsed_us=174243
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1888:-32:-1712 kind=capital elapsed_us=639364
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1968:-32:-1712 kind=capital elapsed_us=640922
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1888:48:-1712 kind=capital elapsed_us=192646
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1968:48:-1712 kind=capital elapsed_us=253333
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1808:-32:-1792 kind=capital elapsed_us=724649
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1888:-32:-1792 kind=capital elapsed_us=625105
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1968:48:-1792 kind=capital elapsed_us=463900
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1472 kind=capital elapsed_us=789658
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:48:-1472 kind=capital elapsed_us=186239
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_tower mapchunk=1568:-32:-1472 kind=capital elapsed_us=641572
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1648:-32:-1392 kind=capital elapsed_us=657676
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1728:-32:-1392 kind=capital elapsed_us=654170
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_store mapchunk=1568:-32:-1392 kind=capital elapsed_us=550123
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_store mapchunk=1568:48:-1392 kind=capital elapsed_us=219875
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=174605
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=175871
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_butts mapchunk=1648:-32:-1312 kind=capital elapsed_us=662088
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1312 kind=capital elapsed_us=484627
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=766780
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=763038
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=412112
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1648:-32:-1632 kind=capital elapsed_us=958656
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1728:-32:-1632 kind=capital elapsed_us=741437
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1648:48:-1632 kind=capital elapsed_us=247011
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1728:48:-1632 kind=capital elapsed_us=248033
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1648:-32:-1712 kind=capital elapsed_us=758045
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1728:-32:-1712 kind=capital elapsed_us=599837
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1648:48:-1712 kind=capital elapsed_us=252379
