ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=8675309 manifest=26aa192ac9ae8348691f63feff3231ec5e7383101b80375e90ea2ceeca7b2ef8 sockets_registered=711 anchor=1800,36,-1500 mode=full build_us=module_load=20461,core=165993,plot_market_granary=10096,plot_market_stable=8883,plot_market_bowyer=9908,plot_market_weaver=9081,plot_market_fountain=3569,plot_market_watch=7833,plot_market_grove=8453,plot_market_orchard=6826,plot_market_bakehouse=6465,plot_market_gardens=3810,plot_market_close=3826,plot_market_paddock=1907,plot_market_green=820,plot_martial_barracks=7028,plot_martial_armoury=7478,plot_martial_tower=3809,plot_martial_hall=7428,plot_martial_stable=5583,plot_martial_store=5535,plot_martial_grove=7503,plot_martial_lodge=3620,plot_martial_bough=3476,plot_martial_lawn=3340,plot_martial_butts=3210,plot_martial_woodyard=1724,plot_martial_mess=817,plot_mere_shrine=2122,plot_mere_lore_hall=7791,plot_mere_mourning=7123,plot_mere_stages=2230,plot_mere_walk=784,plot_homes_terrace_west=3436,plot_homes_terrace_east=2890,plot_homes_longhouse=5394,plot_homes_brewhouse=5839,plot_homes_carver=6485,plot_homes_feast_hall=6350,plot_homes_bough=2932,plot_homes_court=2626,plot_homes_grove=7036,plot_homes_gardens=3379,plot_homes_singing_grove=3339,plot_homes_yard=1726,plot_homes_green=779
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=20461
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=165993
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=10096
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=8883
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=9908
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=9081
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=3569
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=7833
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=8453
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=6826
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=6465
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=3810
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=3826
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=1907
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=820
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=7028
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=7478
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=3809
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=7428
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=5583
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=5535
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=7503
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3620
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3476
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3340
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3210
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1724
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=817
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2122
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=7791
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=7123
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2230
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=784
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3436
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=2890
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=5394
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=5839
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=6485
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=6350
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=2932
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=2626
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=7036
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3379
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3339
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=1726
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=779
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=253
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=104
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=27048564
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=15090772
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=18001213
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=625272
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=167927
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=783540
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=591860
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=217338
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=149829
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1808:-32:-1632 kind=capital elapsed_us=790094
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_stable mapchunk=1888:-32:-1632 kind=capital elapsed_us=781281
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1968:-32:-1632 kind=capital elapsed_us=773626
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1808:-32:-1712 kind=capital elapsed_us=714547
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1888:-32:-1712 kind=capital elapsed_us=683864
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1968:-32:-1712 kind=capital elapsed_us=680523
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_orchard mapchunk=1888:48:-1712 kind=capital elapsed_us=194041
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bakehouse mapchunk=1968:48:-1712 kind=capital elapsed_us=245840
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1808:-32:-1792 kind=capital elapsed_us=802829
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1888:-32:-1792 kind=capital elapsed_us=753225
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1968:48:-1792 kind=capital elapsed_us=509122
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1472 kind=capital elapsed_us=1005093
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_tower mapchunk=1568:-32:-1472 kind=capital elapsed_us=774273
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_tower mapchunk=1568:48:-1472 kind=capital elapsed_us=168136
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1648:-32:-1392 kind=capital elapsed_us=870210
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1728:-32:-1392 kind=capital elapsed_us=823295
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1648:48:-1392 kind=capital elapsed_us=166186
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1728:48:-1392 kind=capital elapsed_us=158010
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_store mapchunk=1568:-32:-1392 kind=capital elapsed_us=766783
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_store mapchunk=1568:48:-1392 kind=capital elapsed_us=221964
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_butts mapchunk=1648:-32:-1312 kind=capital elapsed_us=845771
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:-32:-1312 kind=capital elapsed_us=733388
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1312 kind=capital elapsed_us=249431
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=895889
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:-32:-1312 kind=capital elapsed_us=951937
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=286580
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:-32:-1312 kind=capital elapsed_us=595295
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=240432
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1648:-32:-1632 kind=capital elapsed_us=1017032
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1728:-32:-1632 kind=capital elapsed_us=753371
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1648:-32:-1712 kind=capital elapsed_us=779816
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1728:-32:-1712 kind=capital elapsed_us=620232
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_carver mapchunk=1648:48:-1712 kind=capital elapsed_us=105219
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_carver mapchunk=1648:48:-1632 kind=capital elapsed_us=106386
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_bough mapchunk=1568:-32:-1632 kind=capital elapsed_us=865686
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_bough mapchunk=1568:48:-1632 kind=capital elapsed_us=152188
