seed	side	gate_x	gate_z	route_y	road_y	step	walk_breaks	worst
531802985935182545	south	1800	-1756	54	54	0	0	0
531802985935182545	north	1800	-1244	48	48	0	0	0
531802985935182545	west	1544	-1500	35	35	0	0	0
531802985935182545	east	2056	-1500	50	50	0	0	0
8675309	south	1800	-1756	58	58	0	0	0
8675309	north	1800	-1244	42	42	0	0	0
8675309	west	1544	-1500	36	36	0	0	0
8675309	east	2056	-1500	35	35	0	0	0
15912857179583385436	south	1800	-1756	54	54	0	0	0
15912857179583385436	north	1800	-1244	41	41	0	0	0
15912857179583385436	west	1544	-1500	33	33	0	0	0
15912857179583385436	east	2056	-1500	37	37	0	0	0
0	south	1800	-1756	70	70	0	0	0
0	north	1800	-1244	57	57	0	0	0
0	west	1544	-1500	42	42	0	0	0
0	east	2056	-1500	44	44	0	0	0
1	south	1800	-1756	43	43	0	0	0
1	north	1800	-1244	56	56	0	0	0
1	west	1544	-1500	44	44	0	0	0
1	east	2056	-1500	38	38	0	0	0
2	south	1800	-1756	55	55	0	0	0
2	north	1800	-1244	48	48	0	0	0
2	west	1544	-1500	36	36	0	0	0
2	east	2056	-1500	50	50	0	0	0
42	south	1800	-1756	54	54	0	0	0
42	north	1800	-1244	56	56	0	0	0
42	west	1544	-1500	27	27	0	0	0
42	east	2056	-1500	39	39	0	0	0
12345	south	1800	-1756	47	47	0	0	0
12345	north	1800	-1244	42	42	0	0	0
12345	west	1544	-1500	27	27	0	0	0
12345	east	2056	-1500	34	34	0	0	0
999999999	south	1800	-1756	61	61	0	0	0
999999999	north	1800	-1244	68	68	0	0	0
999999999	west	1544	-1500	48	48	0	0	0
999999999	east	2056	-1500	53	53	0	0	0

36 gate/seed pairs, worst step 0 against a limit of 1
every avenue meets its route end, and the walk in never climbs more than a node
