plot	reference_x	reference_z	reference_y	perimeter_min	perimeter_max	perimeter_fall	perimeter_rise	footprint_min	footprint_max	footprint_fall	footprint_rise	submerged	submerged_margin	reference_wet	clear_to	columns
market_bone_store	-1728	1428	101	100	103	1	2	100	103	1	2	0	0	false	13	357
market_cart_yard	-1684	1428	97	94	97	3	0	94	97	3	0	0	0	false	11	357
market_bonesmith	-1640	1428	95	94	97	1	2	94	97	1	2	0	0	false	11	418
market_shroud_house	-1728	1384	100	100	103	0	3	100	103	0	3	0	0	false	13	437
market_cistern	-1684	1384	100	97	103	3	3	97	103	3	3	0	0	false	8	462
market_watch	-1602	1384	107	103	109	4	2	103	109	4	2	0	0	false	12	567
market_copse	-1728	1340	106	104	106	2	0	104	106	2	0	0	0	false	9	400
market_physic	-1684	1340	106	104	106	2	0	104	106	2	0	0	0	false	12	437
market_charnel	-1640	1340	109	106	112	3	3	106	112	3	3	0	0	false	12	357
market_grave_field	-1592	1418	100	97	103	3	3	97	101	3	1	0	0	false	8	529
market_bone_yard	-1696	1290	109	104	112	5	3	104	112	5	3	0	0	false	8	529
market_candle_court	-1600	1300	112	112	115	0	3	112	115	0	3	0	0	false	8	289
market_close	-1722	1312	106	106	106	0	0	106	106	0	0	0	0	false	8	121
watch_barracks	-1728	1574	106	102	108	4	2	102	108	4	2	0	0	false	13	621
watch_captain_hall	-1728	1618	108	106	111	2	3	106	110	2	2	0	0	false	11	483
watch_armoury	-1728	1662	115	112	115	3	0	112	115	3	0	0	0	false	11	462
watch_stables	-1684	1572	103	101	103	2	0	101	103	2	0	0	0	false	11	399
watch_drill_yard	-1684	1618	103	100	106	3	3	100	104	3	1	0	0	false	14	441
watch_quartermaster	-1684	1702	115	112	118	3	3	112	118	3	3	0	0	false	12	399
watch_cart_shed	-1640	1574	100	98	103	2	3	97	101	3	1	0	0	false	9	437
watch_serjeant_house	-1602	1618	97	95	100	2	3	95	100	2	3	0	0	false	9	221
watch_tower	-1640	1662	100	98	103	2	3	98	103	2	3	0	0	false	14	225
watch_muster_field	-1718	1708	115	112	119	3	4	112	118	3	3	0	0	false	8	529
watch_bone_rampart	-1592	1584	97	94	100	3	3	94	100	3	3	0	0	false	8	529
watch_pyre_court	-1600	1700	103	101	103	2	0	101	103	2	0	0	0	false	8	289
watch_close	-1640	1602	100	100	100	0	0	100	100	0	0	0	0	false	8	121
vigil_ossuary	-1872	1574	107	106	109	1	2	106	109	1	2	0	0	false	14	437
vigil_scriptorium	-1916	1574	112	109	112	3	0	109	112	3	0	0	0	false	13	437
vigil_embalmer	-1960	1574	115	112	115	3	0	112	115	3	0	0	0	false	11	418
vigil_mausoleum_west	-1872	1618	110	109	112	1	2	109	112	1	2	0	0	false	9	323
vigil_mausoleum_east	-1916	1618	112	109	112	3	0	109	112	3	0	0	0	false	9	285
vigil_candle_works	-1960	1618	113	112	115	1	2	112	115	1	2	0	0	false	11	418
vigil_cloister	-1872	1662	112	109	115	3	3	109	115	3	3	0	0	false	8	462
vigil_watch	-1916	1662	118	115	118	3	0	115	118	3	0	0	0	false	12	567
vigil_copse	-1958	1662	121	118	121	3	0	118	121	3	0	0	0	false	10	400
vigil_burial_ground	-2008	1604	115	112	115	3	0	112	115	3	0	0	0	false	8	529
vigil_ruin_close	-1906	1708	123	119	124	4	1	119	124	4	1	0	0	false	8	529
vigil_high_court	-2002	1700	121	119	124	2	3	119	122	2	1	0	0	false	8	289
vigil_close	-1880	1690	115	115	119	0	4	115	118	0	3	0	0	false	8	121
homes_gate_house	-1876	1430	100	97	104	3	4	97	104	3	4	0	0	false	11	225
homes_lane_house	-1868	1384	100	97	103	3	3	97	103	3	3	0	0	false	10	225
homes_terrace_house	-1872	1340	100	100	103	0	3	100	103	0	3	0	0	false	13	255
homes_corner_house	-1916	1430	103	101	103	2	0	101	103	2	0	0	0	false	11	255
homes_fallen_west	-1916	1386	101	99	103	2	2	99	103	2	2	0	0	false	8	225
homes_fallen_east	-1916	1342	106	104	106	2	0	104	106	2	0	0	0	false	8	255
homes_mourners_hall	-1960	1430	100	97	104	3	4	97	103	3	3	0	0	false	11	483
homes_watch	-1960	1386	97	97	103	0	6	97	103	0	6	0	0	false	12	567
homes_cistern	-1972	1342	103	100	106	3	3	100	106	3	3	0	0	false	8	462
homes_family_plots	-1904	1292	98	94	100	4	2	94	100	4	2	0	0	false	8	529
homes_blight_garden	-2008	1396	103	103	109	0	6	103	107	0	4	0	0	false	8	529
homes_candle_court	-2000	1300	103	103	106	0	3	103	106	0	3	0	0	false	8	289
homes_green	-1988	1422	106	104	106	2	0	104	106	2	0	0	0	false	8	121
