line	p	lane	x	z	terrain_y	water
west	-264	-3	-259	-264	87	false
west	-264	-2	-258	-264	87	false
west	-264	-1	-257	-264	87	false
west	-264	0	-256	-264	87	false
west	-264	1	-255	-264	87	false
west	-264	2	-254	-264	87	false
west	-264	3	-253	-264	87	false
west	-263	-3	-259	-263	87	false
west	-263	-2	-258	-263	87	false
west	-263	-1	-257	-263	87	false
west	-263	0	-256	-263	87	false
west	-263	1	-255	-263	87	false
west	-263	2	-254	-263	87	false
west	-263	3	-253	-263	87	false
west	-262	-3	-259	-262	87	false
west	-262	-2	-258	-262	87	false
west	-262	-1	-257	-262	87	false
west	-262	0	-256	-262	87	false
west	-262	1	-255	-262	87	false
west	-262	2	-254	-262	87	false
west	-262	3	-253	-262	87	false
west	-261	-3	-259	-261	87	false
west	-261	-2	-258	-261	87	false
west	-261	-1	-257	-261	87	false
west	-261	0	-256	-261	87	false
west	-261	1	-255	-261	87	false
west	-261	2	-254	-261	87	false
west	-261	3	-253	-261	87	false
west	-260	-3	-259	-260	87	false
west	-260	-2	-258	-260	87	false
west	-260	-1	-257	-260	87	false
west	-260	0	-256	-260	87	false
west	-260	1	-255	-260	87	false
west	-260	2	-254	-260	87	false
west	-260	3	-253	-260	87	false
west	-259	-3	-259	-259	87	false
west	-259	-2	-258	-259	87	false
west	-259	-1	-257	-259	87	false
west	-259	0	-256	-259	87	false
west	-259	1	-255	-259	87	false
west	-259	2	-254	-259	87	false
west	-259	3	-253	-259	87	false
west	-258	-3	-259	-258	87	false
west	-258	-2	-258	-258	87	false
west	-258	-1	-257	-258	87	false
west	-258	0	-256	-258	87	false
west	-258	1	-255	-258	87	false
west	-258	2	-254	-258	87	false
west	-258	3	-253	-258	87	false
west	-257	-3	-259	-257	87	false
west	-257	-2	-258	-257	87	false
west	-257	-1	-257	-257	87	false
west	-257	0	-256	-257	87	false
west	-257	1	-255	-257	87	false
west	-257	2	-254	-257	87	false
west	-257	3	-253	-257	87	false
west	-256	-3	-259	-256	87	false
west	-256	-2	-258	-256	87	false
west	-256	-1	-257	-256	87	false
west	-256	0	-256	-256	87	false
west	-256	1	-255	-256	87	false
west	-256	2	-254	-256	87	false
west	-256	3	-253	-256	87	false
west	-255	-3	-259	-255	87	false
west	-255	-2	-258	-255	87	false
west	-255	-1	-257	-255	87	false
west	-255	0	-256	-255	87	false
west	-255	1	-255	-255	87	false
west	-255	2	-254	-255	87	false
west	-255	3	-253	-255	87	false
west	-254	-3	-259	-254	87	false
west	-254	-2	-258	-254	87	false
west	-254	-1	-257	-254	87	false
west	-254	0	-256	-254	87	false
west	-254	1	-255	-254	87	false
west	-254	2	-254	-254	87	false
west	-254	3	-253	-254	87	false
west	-253	-3	-259	-253	87	false
west	-253	-2	-258	-253	87	false
west	-253	-1	-257	-253	87	false
west	-253	0	-256	-253	87	false
west	-253	1	-255	-253	87	false
west	-253	2	-254	-253	87	false
west	-253	3	-253	-253	87	false
