kind	seed	lot	reference	skirt_face	best_side	best_step	walkable_sides
kezamba_walk	531802985935182545	shore_1	39	0	0,-1	0	4
kezamba_walk	531802985935182545	shore_2	39	0	0,-1	0	4
kezamba_walk	531802985935182545	shore_3	39	0	1,0	0	4
kezamba_walk	531802985935182545	shore_4	33	3	0,-1	0	4
kezamba_walk	531802985935182545	shore_5	39	0	0,1	0	4
kezamba_walk	531802985935182545	shore_6	42	0	0,-1	1	4
kezamba_walk	531802985935182545	shore_7	42	0	0,1	3	4
kezamba_walk	531802985935182545	shore_8	39	0	0,-1	1	4
kezamba_walk	531802985935182545	shore_9	39	0	0,-1	0	4
kezamba_walk	531802985935182545	shore_f1	36	0	0,-1	0	4
kezamba_walk	531802985935182545	shore_f2	36	0	0,-1	1	4
kezamba_walk	531802985935182545	shore_f3	39	0	-1,0	1	4
kezamba_walk	531802985935182545	shore_f4	39	0	0,-1	1	4
kezamba_walk	531802985935182545	vine_1	36	0	1,0	1	4
kezamba_walk	531802985935182545	vine_2	39	0	0,1	0	4
kezamba_walk	531802985935182545	vine_3	36	0	-1,0	1	4
kezamba_walk	531802985935182545	vine_4	40	1	0,1	0	4
kezamba_walk	531802985935182545	vine_5	45	0	1,0	1	4
kezamba_walk	531802985935182545	vine_6	42	0	1,0	0	4
kezamba_walk	531802985935182545	vine_7	33	0	0,-1	1	4
kezamba_walk	531802985935182545	vine_8	42	0	0,-1	0	4
kezamba_walk	531802985935182545	vine_9	39	0	0,1	0	4
kezamba_walk	531802985935182545	vine_f1	39	0	0,1	0	4
kezamba_walk	531802985935182545	vine_f2	39	1	0,1	0	4
kezamba_walk	531802985935182545	vine_f3	37	1	-1,0	1	4
kezamba_walk	531802985935182545	vine_f4	39	0	0,-1	0	4
kezamba_walk	531802985935182545	canopy_1	39	0	0,-1	1	4
kezamba_walk	531802985935182545	canopy_2	42	0	0,1	0	4
kezamba_walk	531802985935182545	canopy_3	36	0	1,0	0	4
kezamba_walk	531802985935182545	canopy_4	45	1	0,-1	1	4
kezamba_walk	531802985935182545	canopy_5	36	0	0,-1	0	4
kezamba_walk	531802985935182545	canopy_6	45	0	0,-1	0	4
kezamba_walk	531802985935182545	canopy_7	39	0	0,-1	0	4
kezamba_walk	531802985935182545	canopy_8	40	1	-1,0	1	4
kezamba_walk	531802985935182545	canopy_9	39	0	-1,0	0	4
kezamba_walk	531802985935182545	canopy_10	42	0	1,0	0	4
kezamba_walk	531802985935182545	canopy_11	39	0	0,-1	1	4
kezamba_walk	531802985935182545	canopy_f1	36	0	-1,0	0	4
kezamba_walk	531802985935182545	canopy_f2	45	0	0,1	0	4
kezamba_walk	531802985935182545	canopy_f3	42	0	1,0	0	4
kezamba_walk	531802985935182545	canopy_f4	36	0	1,0	0	4
kezamba_walk	531802985935182545	totem_1	39	1	-1,0	1	4
kezamba_walk	531802985935182545	totem_2	37	1	0,1	1	4
kezamba_walk	531802985935182545	totem_3	40	2	0,1	1	4
kezamba_walk	531802985935182545	totem_4	45	0	1,0	0	4
kezamba_walk	531802985935182545	totem_5	34	1	0,-1	0	4
kezamba_walk	531802985935182545	totem_6	40	1	0,-1	1	4
kezamba_walk	531802985935182545	totem_7	42	0	-1,0	1	4
kezamba_walk	531802985935182545	totem_f1	39	0	-1,0	1	4
kezamba_walk	531802985935182545	totem_f2	36	0	0,1	0	4
kezamba_walk	531802985935182545	totem_f3	39	0	-1,0	0	4
kezamba_walk	531802985935182545	totem_f4	42	0	0,1	1	4
kezamba_core_edge	531802985935182545	48,0	66	water	-	-	-
kezamba_core_edge	531802985935182545	-48,0	66	0	-	-	-
kezamba_core_edge	531802985935182545	0,48	66	water	-	-	-
kezamba_core_edge	531802985935182545	0,-48	66	0	-	-	-
kezamba_walk	8675309	shore_1	33	1	-1,0	1	4
kezamba_walk	8675309	shore_2	37	1	0,1	1	4
kezamba_walk	8675309	shore_3	33	0	-1,0	0	4
kezamba_walk	8675309	shore_4	39	0	0,-1	1	4
kezamba_walk	8675309	shore_5	48	0	1,0	0	4
kezamba_walk	8675309	shore_6	39	0	0,1	1	4
kezamba_walk	8675309	shore_7	36	0	-1,0	0	4
kezamba_walk	8675309	shore_8	48	0	-1,0	0	4
kezamba_walk	8675309	shore_9	35	1	0,-1	1	4
kezamba_walk	8675309	shore_f1	37	0	0,-1	1	3
kezamba_walk	8675309	shore_f2	33	0	0,-1	0	4
kezamba_walk	8675309	shore_f3	41	0	0,-1	2	4
kezamba_walk	8675309	shore_f4	34	0	-1,0	1	4
kezamba_walk	8675309	vine_1	36	0	0,1	1	4
kezamba_walk	8675309	vine_2	39	0	0,1	0	4
kezamba_walk	8675309	vine_3	35	1	0,-1	0	4
kezamba_walk	8675309	vine_4	31	0	0,1	1	4
kezamba_walk	8675309	vine_5	42	0	0,1	1	4
