ACTION[Main]: GRUG_WP13_CAPITAL event=districts lore_spiritual=northeast market_professions=northwest martial_garrison=southwest residential_cultural=southeast permutation=2,3,1
ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=531802985935182545 manifest=1712440d3212ce5cb08add8c0d4ddefa466b14043fe9ba394f277f6831cdaaae sockets_registered=1737 anchor=1800,41,-1500 mode=full build_us=module_load=21452,core=152970,plot_market_granary=9921,plot_market_stable=7016,plot_market_bowyer=9155,plot_market_weaver=9706,plot_market_fountain=3949,plot_market_watch=7689,plot_market_grove=9563,plot_market_orchard=7142,plot_market_bakehouse=7050,plot_market_gardens=19828,plot_market_close=13193,plot_market_paddock=7953,plot_market_green=3735,plot_martial_barracks=34208,plot_martial_armoury=40166,plot_martial_tower=24104,plot_martial_hall=49517,plot_martial_stable=29674,plot_martial_store=24841,plot_martial_grove=8106,plot_martial_lodge=3790,plot_martial_bough=3644,plot_martial_lawn=3664,plot_martial_butts=3677,plot_martial_woodyard=1904,plot_martial_mess=839,plot_mere_shrine=2328,plot_mere_lore_hall=7781,plot_mere_mourning=7440,plot_mere_stages=2309,plot_mere_walk=795,plot_homes_terrace_west=3317,plot_homes_terrace_east=3053,plot_homes_longhouse=5720,plot_homes_brewhouse=6405,plot_homes_carver=6768,plot_homes_feast_hall=7125,plot_homes_bough=3143,plot_homes_court=2906,plot_homes_grove=7219,plot_homes_gardens=3554,plot_homes_singing_grove=3554,plot_homes_yard=1815,plot_homes_green=760
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=21452
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=152970
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=9921
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=7016
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=9155
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=9706
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=3949
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=7689
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=9563
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=7142
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=7050
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=19828
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=13193
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=7953
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=3735
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=34208
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=40166
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=24104
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=49517
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=29674
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=24841
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=8106
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3790
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3644
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3664
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3677
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1904
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=839
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2328
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=7781
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=7440
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2309
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=795
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3317
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=3053
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=5720
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=6405
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=6768
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=7125
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=3143
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=2906
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=7219
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3554
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3554
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=1815
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=760
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=253
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=112
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=25602397
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=12850629
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=13390320
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=585830
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=248005
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=687187
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=540520
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=234111
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=228010
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:-32:-1472 kind=capital elapsed_us=561876
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:48:-1472 kind=capital elapsed_us=171142
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1568:-32:-1472 kind=capital elapsed_us=604344
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1648:-32:-1392 kind=capital elapsed_us=608921
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1728:-32:-1392 kind=capital elapsed_us=540575
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:-32:-1392 kind=capital elapsed_us=486409
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:48:-1392 kind=capital elapsed_us=223647
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=189863
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=183136
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1648:-32:-1312 kind=capital elapsed_us=560594
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1568:48:-1312 kind=capital elapsed_us=427164
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1632 kind=capital elapsed_us=830993
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:-32:-1632 kind=capital elapsed_us=629839
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:48:-1632 kind=capital elapsed_us=253991
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:48:-1632 kind=capital elapsed_us=240771
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:-32:-1712 kind=capital elapsed_us=637856
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:-32:-1712 kind=capital elapsed_us=516460
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:48:-1712 kind=capital elapsed_us=253051
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:48:-1712 kind=capital elapsed_us=259495
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:-32:-1632 kind=capital elapsed_us=681516
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:48:-1632 kind=capital elapsed_us=277355
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:-32:-1712 kind=capital elapsed_us=533488
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:48:-1712 kind=capital elapsed_us=233608
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_lawn mapchunk=1648:-32:-1792 kind=capital elapsed_us=794876
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1792 kind=capital elapsed_us=495978
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=752160
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=678743
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=388576
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:-32:-1632 kind=capital elapsed_us=775752
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:48:-1632 kind=capital elapsed_us=235686
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:-32:-1632 kind=capital elapsed_us=643279
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:48:-1632 kind=capital elapsed_us=242697
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:-32:-1632 kind=capital elapsed_us=604955
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:48:-1632 kind=capital elapsed_us=259952
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:-32:-1712 kind=capital elapsed_us=649485
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:48:-1712 kind=capital elapsed_us=185591
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:-32:-1712 kind=capital elapsed_us=537615
