ACTION[Main]: GRUG_WP13_CAPITAL event=districts lore_spiritual=northeast market_professions=northwest martial_garrison=southwest residential_cultural=southeast permutation=2,3,1
ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=531802985935182545 manifest=1712440d3212ce5cb08add8c0d4ddefa466b14043fe9ba394f277f6831cdaaae sockets_registered=1737 anchor=1800,41,-1500 mode=full build_us=module_load=17773,core=364105,plot_market_granary=8534,plot_market_stable=5597,plot_market_bowyer=7445,plot_market_weaver=7705,plot_market_fountain=2961,plot_market_watch=7464,plot_market_grove=8386,plot_market_orchard=6834,plot_market_bakehouse=6142,plot_market_gardens=4030,plot_market_close=3830,plot_market_paddock=1944,plot_market_green=865,plot_martial_barracks=7309,plot_martial_armoury=6950,plot_martial_tower=3886,plot_martial_hall=7018,plot_martial_stable=5844,plot_martial_store=5657,plot_martial_grove=7775,plot_martial_lodge=3458,plot_martial_bough=3501,plot_martial_lawn=3804,plot_martial_butts=3291,plot_martial_woodyard=1791,plot_martial_mess=780,plot_mere_shrine=2083,plot_mere_lore_hall=7768,plot_mere_mourning=7469,plot_mere_stages=2438,plot_mere_walk=834,plot_homes_terrace_west=3215,plot_homes_terrace_east=2909,plot_homes_longhouse=5077,plot_homes_brewhouse=6175,plot_homes_carver=6239,plot_homes_feast_hall=6850,plot_homes_bough=2910,plot_homes_court=2813,plot_homes_grove=7131,plot_homes_gardens=3496,plot_homes_singing_grove=3465,plot_homes_yard=2529,plot_homes_green=1173
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=17773
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=364105
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=8534
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=5597
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=7445
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=7705
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=2961
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=7464
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=8386
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=6834
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=6142
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=4030
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=3830
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=1944
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=865
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=7309
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=6950
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=3886
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=7018
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=5844
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=5657
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=7775
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3458
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3501
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3804
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3291
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1791
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=780
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2083
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=7768
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=7469
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2438
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=834
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3215
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=2909
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=5077
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=6175
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=6239
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=6850
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=2910
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=2813
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=7131
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3496
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3465
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=2529
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=1173
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=253
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=112
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=28608077
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=15166632
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=14819051
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=634656
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=245859
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=704822
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=535458
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=215353
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=218347
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:-32:-1472 kind=capital elapsed_us=578494
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:48:-1472 kind=capital elapsed_us=171834
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1568:-32:-1472 kind=capital elapsed_us=598421
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1648:-32:-1392 kind=capital elapsed_us=605859
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1728:-32:-1392 kind=capital elapsed_us=541716
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:-32:-1392 kind=capital elapsed_us=501101
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:48:-1392 kind=capital elapsed_us=220382
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=190090
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=188068
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1648:-32:-1312 kind=capital elapsed_us=605767
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1568:48:-1312 kind=capital elapsed_us=468586
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1632 kind=capital elapsed_us=897747
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:-32:-1632 kind=capital elapsed_us=677925
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:48:-1632 kind=capital elapsed_us=242405
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:48:-1632 kind=capital elapsed_us=239331
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:-32:-1712 kind=capital elapsed_us=683860
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:-32:-1712 kind=capital elapsed_us=550300
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:48:-1712 kind=capital elapsed_us=247349
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:48:-1712 kind=capital elapsed_us=249845
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:-32:-1632 kind=capital elapsed_us=711821
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:48:-1632 kind=capital elapsed_us=237288
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:-32:-1712 kind=capital elapsed_us=581669
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:48:-1712 kind=capital elapsed_us=245330
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_lawn mapchunk=1648:-32:-1792 kind=capital elapsed_us=896888
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1792 kind=capital elapsed_us=553511
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=818428
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=742649
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=409759
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:-32:-1632 kind=capital elapsed_us=824214
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:48:-1632 kind=capital elapsed_us=236706
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:-32:-1632 kind=capital elapsed_us=682094
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:48:-1632 kind=capital elapsed_us=240604
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:-32:-1632 kind=capital elapsed_us=690989
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:48:-1632 kind=capital elapsed_us=250661
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:-32:-1712 kind=capital elapsed_us=699604
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:48:-1712 kind=capital elapsed_us=190388
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:-32:-1712 kind=capital elapsed_us=580188
