pass                               region    cells    ignored held     retries  trouble
dur_brannoc-full-15912857179583385436 core      42163    0      147      0        0
dur_brannoc-full-15912857179583385436 plot      6920     0      12       0        0
dur_brannoc-full-15912857179583385436 avenue    90143    0      126      0        0
dur_brannoc-full-15912857179583385436 district  182871   0      224      0        0
dur_brannoc-full-15912857179583385436 approach  19842    0      45       0        0
dur_brannoc-full-15912857179583385436 rampart   27953    0      44       0        0
dur_brannoc-full-15912857179583385436 gate      11721    0      45       0        0
dur_brannoc-full-15912857179583385436 corner    25843    0      144      0        0
dur_brannoc-full-531802985935182545 core      42163    0      147      0        0
dur_brannoc-full-531802985935182545 plot      7174     0      27       0        0
dur_brannoc-full-531802985935182545 avenue    127848   0      210      0        0
dur_brannoc-full-531802985935182545 district  178181   0      336      0        0
dur_brannoc-full-531802985935182545 approach  25403    0      75       0        0
dur_brannoc-full-531802985935182545 rampart   29999    0      66       0        0
dur_brannoc-full-531802985935182545 gate      15221    0      54       0        0
dur_brannoc-full-531802985935182545 corner    30104    0      216      0        0
dur_brannoc-full-531802985935182545-verify core      42163    0      147      0        0
dur_brannoc-full-531802985935182545-verify plot      7174     0      27       0        0
dur_brannoc-full-531802985935182545-verify avenue    127848   0      210      0        0
dur_brannoc-full-531802985935182545-verify district  178181   0      336      0        0
dur_brannoc-full-531802985935182545-verify approach  25403    0      75       0        0
dur_brannoc-full-531802985935182545-verify rampart   29999    0      66       0        0
dur_brannoc-full-531802985935182545-verify gate      15221    0      54       0        0
dur_brannoc-full-531802985935182545-verify corner    30104    0      216      0        0
dur_brannoc-full-8675309           core      42163    0      196      0        0
dur_brannoc-full-8675309           plot      7232     0      18       0        0
dur_brannoc-full-8675309           avenue    95094    0      168      0        0
dur_brannoc-full-8675309           district  240868   0      384      0        0
dur_brannoc-full-8675309           approach  17525    0      75       0        0
dur_brannoc-full-8675309           rampart   35547    0      55       0        0
dur_brannoc-full-8675309           gate      14115    0      45       0        0
dur_brannoc-full-8675309           corner    28880    0      225      0        0
gor_drazhak-full-531802985935182545 core      42566    0      168      0        0
gor_drazhak-full-531802985935182545 plot      7729     0      27       0        0
gor_drazhak-full-531802985935182545 avenue    67735    0      90       0        0
gor_drazhak-full-531802985935182545 district  250980   0      256      0        0
gor_drazhak-full-531802985935182545 approach  19476    0      30       0        0
gor_drazhak-full-531802985935182545 rampart   41620    0      176      1        0
gor_drazhak-full-531802985935182545 gate      27360    0      48       0        0
gor_drazhak-full-531802985935182545 corner    35580    0      60       0        0
gor_drazhak-full-531802985935182545-verify core      42566    0      168      0        0
gor_drazhak-full-531802985935182545-verify plot      7729     0      27       0        0
gor_drazhak-full-531802985935182545-verify avenue    67735    0      90       0        0
gor_drazhak-full-531802985935182545-verify district  250980   0      256      0        0
