ACTION[Main]: GRUG_WP13_CAPITAL event=districts lore_spiritual=northeast market_professions=southwest martial_garrison=northwest residential_cultural=southeast permutation=3,2,1
ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=15912857179583385436 manifest=32a0f4b5d7cdf37e1825f77ad29224dafbd84b0e81761902806f0c022c394fb4 sockets_registered=1737 anchor=1800,36,-1500 mode=full build_us=module_load=22823,core=153134,plot_market_granary=10484,plot_market_stable=6960,plot_market_bowyer=8963,plot_market_weaver=9427,plot_market_fountain=3350,plot_market_watch=7423,plot_market_grove=9417,plot_market_orchard=7414,plot_market_bakehouse=7498,plot_market_gardens=4705,plot_market_close=4039,plot_market_paddock=2010,plot_market_green=930,plot_martial_barracks=7944,plot_martial_armoury=9063,plot_martial_tower=4490,plot_martial_hall=7767,plot_martial_stable=19626,plot_martial_store=19593,plot_martial_grove=34912,plot_martial_lodge=11673,plot_martial_bough=25548,plot_martial_lawn=29262,plot_martial_butts=29245,plot_martial_woodyard=7846,plot_martial_mess=4742,plot_mere_shrine=11523,plot_mere_lore_hall=16779,plot_mere_mourning=8154,plot_mere_stages=3646,plot_mere_walk=1292,plot_homes_terrace_west=4846,plot_homes_terrace_east=4084,plot_homes_longhouse=6739,plot_homes_brewhouse=7704,plot_homes_carver=8380,plot_homes_feast_hall=8595,plot_homes_bough=3630,plot_homes_court=3295,plot_homes_grove=8156,plot_homes_gardens=4165,plot_homes_singing_grove=4048,plot_homes_yard=2070,plot_homes_green=950
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=22823
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=153134
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=10484
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=6960
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=8963
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=9427
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=3350
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=7423
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=9417
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=7414
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=7498
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=4705
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=4039
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=2010
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=930
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=7944
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=9063
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=4490
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=7767
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=19626
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=19593
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=34912
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=11673
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=25548
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=29262
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=29245
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=7846
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=4742
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=11523
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=16779
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=8154
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=3646
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=1292
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=4846
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=4084
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=6739
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=7704
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=8380
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=8595
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=3630
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=3295
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=8156
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=4165
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=4048
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=2070
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=950
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=253
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=102
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=25062904
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=15215423
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=15757937
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=581471
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=202701
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=743037
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=514641
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=191193
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=181177
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:-32:-1632 kind=capital elapsed_us=970037
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1728:-32:-1632 kind=capital elapsed_us=640988
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1648:-32:-1712 kind=capital elapsed_us=784245
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1728:-32:-1712 kind=capital elapsed_us=683423
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1568:-32:-1632 kind=capital elapsed_us=824771
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1568:48:-1632 kind=capital elapsed_us=175915
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bakehouse mapchunk=1568:-32:-1712 kind=capital elapsed_us=638143
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_gardens mapchunk=1648:-32:-1792 kind=capital elapsed_us=771623
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1568:-32:-1792 kind=capital elapsed_us=590477
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1472 kind=capital elapsed_us=883878
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_tower mapchunk=1568:-32:-1472 kind=capital elapsed_us=763457
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_tower mapchunk=1568:48:-1472 kind=capital elapsed_us=139316
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1648:-32:-1392 kind=capital elapsed_us=780907
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_hall mapchunk=1728:-32:-1392 kind=capital elapsed_us=724780
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_store mapchunk=1568:-32:-1392 kind=capital elapsed_us=702259
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=138732
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=136406
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_butts mapchunk=1648:-32:-1312 kind=capital elapsed_us=796789
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1312 kind=capital elapsed_us=522703
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=888627
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=771943
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:-32:-1312 kind=capital elapsed_us=609382
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=289683
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:-32:-1632 kind=capital elapsed_us=884675
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:-32:-1632 kind=capital elapsed_us=793335
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:-32:-1632 kind=capital elapsed_us=792143
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:48:-1632 kind=capital elapsed_us=213789
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:-32:-1712 kind=capital elapsed_us=763164
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:-32:-1712 kind=capital elapsed_us=674034
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1968:-32:-1712 kind=capital elapsed_us=688658
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:48:-1712 kind=capital elapsed_us=134882
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1968:48:-1712 kind=capital elapsed_us=278358
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:48:-1632 kind=capital elapsed_us=139514
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_singing_grove mapchunk=1808:-32:-1792 kind=capital elapsed_us=781068
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_singing_grove mapchunk=1888:-32:-1792 kind=capital elapsed_us=655593
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_yard mapchunk=1968:48:-1792 kind=capital elapsed_us=501628
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=run_avenue_south mapchunk=1728:-32:-1792 kind=capital elapsed_us=794871
