ACTION[Main]: GRUG_WP13_CAPITAL event=districts lore_spiritual=northeast market_professions=northwest martial_garrison=southwest residential_cultural=southeast permutation=2,3,1
ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=531802985935182545 manifest=ca4baa1b2603d91d4778bbf4eae57ef10268748c45cf035e1905438eec840c68 sockets_registered=1737 anchor=1800,41,-1500 mode=full build_us=module_load=17841,core=134837,plot_market_granary=9168,plot_market_stable=5841,plot_market_bowyer=7737,plot_market_weaver=7948,plot_market_fountain=2897,plot_market_watch=6365,plot_market_grove=6995,plot_market_orchard=5967,plot_market_bakehouse=6083,plot_market_gardens=3490,plot_market_close=3453,plot_market_paddock=1702,plot_market_green=780,plot_martial_barracks=6658,plot_martial_armoury=7184,plot_martial_tower=3598,plot_martial_hall=6817,plot_martial_stable=4892,plot_martial_store=7811,plot_martial_grove=7504,plot_martial_lodge=3626,plot_martial_bough=3215,plot_martial_lawn=3339,plot_martial_butts=3022,plot_martial_woodyard=1681,plot_martial_mess=906,plot_mere_shrine=2117,plot_mere_lore_hall=8019,plot_mere_mourning=6771,plot_mere_stages=2189,plot_mere_walk=798,plot_homes_terrace_west=3052,plot_homes_terrace_east=3618,plot_homes_longhouse=5254,plot_homes_brewhouse=6232,plot_homes_carver=6239,plot_homes_feast_hall=7054,plot_homes_bough=3182,plot_homes_court=3017,plot_homes_grove=7846,plot_homes_gardens=3945,plot_homes_singing_grove=3852,plot_homes_yard=2642,plot_homes_green=1246
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=17841
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=134837
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=9168
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=5841
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=7737
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=7948
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=2897
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=6365
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=6995
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=5967
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=6083
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=3490
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=3453
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=1702
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=780
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=6658
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=7184
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=3598
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=6817
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=4892
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=7811
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=7504
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3626
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3215
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3339
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3022
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1681
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=906
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2117
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=8019
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=6771
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2189
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=798
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3052
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=3618
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=5254
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=6232
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=6239
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=7054
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=3182
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=3017
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=7846
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3945
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3852
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=2642
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=1246
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=253
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=112
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=26844407
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=12918337
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=14087324
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=614666
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=261871
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=700165
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=516591
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=235136
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=233688
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:-32:-1472 kind=capital elapsed_us=607946
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:48:-1472 kind=capital elapsed_us=188761
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1568:-32:-1472 kind=capital elapsed_us=602502
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1648:-32:-1392 kind=capital elapsed_us=615783
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1728:-32:-1392 kind=capital elapsed_us=540640
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:-32:-1392 kind=capital elapsed_us=499179
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:48:-1392 kind=capital elapsed_us=239315
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=204019
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=205039
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1648:-32:-1312 kind=capital elapsed_us=606688
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1568:48:-1312 kind=capital elapsed_us=468844
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1632 kind=capital elapsed_us=852191
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:-32:-1632 kind=capital elapsed_us=659720
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:48:-1632 kind=capital elapsed_us=280612
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:48:-1632 kind=capital elapsed_us=253924
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:-32:-1712 kind=capital elapsed_us=673290
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:-32:-1712 kind=capital elapsed_us=536734
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:48:-1712 kind=capital elapsed_us=262815
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:48:-1712 kind=capital elapsed_us=264012
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:-32:-1632 kind=capital elapsed_us=671902
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:48:-1632 kind=capital elapsed_us=258821
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:-32:-1712 kind=capital elapsed_us=563567
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:48:-1712 kind=capital elapsed_us=247492
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_lawn mapchunk=1648:-32:-1792 kind=capital elapsed_us=796748
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1792 kind=capital elapsed_us=520611
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=804235
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=753548
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=433486
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:-32:-1632 kind=capital elapsed_us=808135
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:48:-1632 kind=capital elapsed_us=249673
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:-32:-1632 kind=capital elapsed_us=682307
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:48:-1632 kind=capital elapsed_us=255335
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:-32:-1632 kind=capital elapsed_us=681911
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:48:-1632 kind=capital elapsed_us=265539
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:-32:-1712 kind=capital elapsed_us=699453
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:48:-1712 kind=capital elapsed_us=203660
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:-32:-1712 kind=capital elapsed_us=573816
