capital	run	columns	spread	step	lane_step	junctions	overlaps	junc_spread	junc_step	raised	raise_max	walled	solid	pillars	wet	piers	rails	lamps	lamps_off	queries
highcourt	avenue_south	214	0	1	1	0	0	0	0	11	2	0	0	0	0	0	0	54	0	2364
highcourt	avenue_north	214	0	1	1	0	0	0	0	634	10	112	0	112	455	32	226	54	0	3005
highcourt	avenue_west	214	0	1	1	0	0	0	0	481	7	127	0	127	303	20	150	54	0	2929
highcourt	avenue_east	214	0	1	1	0	0	0	0	488	9	186	0	186	313	22	156	54	0	2935
highcourt	ring_west	193	0	1	1	0	0	0	0	669	7	108	0	108	437	30	196	50	0	2866
highcourt	ring_east	193	0	1	1	0	0	0	0	479	8	60	0	60	260	18	114	50	0	2784
highcourt	ring_south	193	0	1	1	0	0	0	0	54	1	0	0	0	0	0	0	50	0	3095
highcourt	ring_north	193	0	1	1	0	0	0	0	714	8	157	0	157	549	36	246	50	0	2916
highcourt	lane_southeast_spine	187	0	1	1	0	0	0	0	115	10	58	0	58	3	4	26	48	0	2259
highcourt	lane_southeast_cross	187	0	1	1	0	0	0	0	119	2	0	0	0	0	0	0	48	0	2233
highcourt	lane_northeast_spine	223	0	1	1	0	0	0	0	221	10	88	0	88	23	6	36	56	0	2457
highcourt	lane_northeast_cross	247	0	1	1	0	0	0	0	583	5	23	0	23	195	14	92	62	0	2639
highcourt	lane_northwest_spine	195	0	1	1	0	0	0	0	71	2	0	0	0	0	0	0	50	0	2275
highcourt	lane_northwest_cross	247	0	1	1	0	0	0	0	496	12	87	0	87	273	16	116	62	0	2663
highcourt	lane_southwest_spine	201	0	1	1	0	0	0	0	223	3	1	0	1	0	0	2	52	0	2309
dur_brannoc	avenue_south	214	0	1	1	0	0	0	0	377	4	13	0	13	0	4	12	54	0	2791
dur_brannoc	avenue_north	214	0	1	1	0	0	0	0	374	3	6	0	6	0	0	6	54	0	2785
dur_brannoc	avenue_west	214	0	1	1	0	0	0	0	233	5	30	0	30	0	2	10	54	0	2789
dur_brannoc	avenue_east	214	0	1	1	0	0	0	0	290	8	149	0	149	0	8	52	54	0	2831
dur_brannoc	ring_west	193	0	1	1	0	0	0	0	751	5	303	0	303	0	44	296	50	0	2966
dur_brannoc	ring_east	193	0	1	1	0	0	0	0	772	8	345	0	345	0	44	298	50	0	2968
dur_brannoc	ring_south	193	0	1	1	0	0	0	0	344	4	19	0	19	0	4	14	50	0	2684
