capital	run	columns	spread	step	lane_step	junctions	overlaps	junc_spread	junc_step	raised	raise_max	walled	solid	pillars	wet	piers	rails	lamps	lamps_off	queries
highcourt	avenue_south	214	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	2	1524
highcourt	avenue_north	214	2	1	1	0	0	0	0	12	1	0	0	0	455	0	0	54	8	1524
highcourt	avenue_west	214	3	1	1	0	0	0	0	62	3	6	6	0	303	0	0	54	13	1524
highcourt	avenue_east	214	3	1	1	0	0	0	0	10	1	0	0	0	313	0	0	54	16	1524
highcourt	ring_west	193	5	1	1	0	0	0	0	25	2	0	0	0	437	0	0	50	10	1415
highcourt	ring_east	193	2	1	1	0	0	0	0	5	1	0	0	0	260	0	0	50	8	1415
highcourt	ring_south	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	4	1415
highcourt	ring_north	193	2	1	1	0	0	0	0	15	1	0	0	0	549	0	0	50	11	1415
highcourt	lane_southeast_spine	187	2	1	1	0	0	0	0	2	1	0	0	0	3	0	0	48	15	1383
highcourt	lane_southeast_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	12	1383
highcourt	lane_northeast_spine	223	3	1	1	0	0	0	0	12	1	0	0	0	23	0	0	56	13	1571
highcourt	lane_northeast_cross	247	2	1	1	0	0	0	0	5	1	0	0	0	195	0	0	62	17	1697
highcourt	lane_northwest_spine	195	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	8	1425
highcourt	lane_northwest_cross	247	2	1	1	0	0	0	0	5	1	0	0	0	273	0	0	62	16	1697
highcourt	lane_southwest_spine	201	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	52	15	1457
dur_brannoc	avenue_south	214	2	1	1	0	0	0	0	182	6	133	133	0	0	0	0	54	20	1524
dur_brannoc	avenue_north	214	3	1	1	0	0	0	0	193	8	147	147	0	0	0	0	54	11	1524
dur_brannoc	avenue_west	214	2	1	1	0	0	0	0	241	12	191	191	0	0	0	0	54	17	1524
dur_brannoc	avenue_east	214	3	1	1	0	0	0	0	17	1	0	0	0	0	0	0	54	17	1524
dur_brannoc	ring_west	193	7	1	1	0	0	0	0	28	1	0	0	0	0	0	0	50	50	1415
dur_brannoc	ring_east	193	6	1	1	0	0	0	0	9	1	0	0	0	0	0	0	50	45	1415
dur_brannoc	ring_south	193	3	1	1	0	0	0	0	139	7	63	63	0	0	0	0	50	19	1415
dur_brannoc	ring_north	193	2	1	1	0	0	0	0	257	6	149	149	0	0	0	0	50	20	1415
dur_brannoc	lane_southeast_spine	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	10	1561
dur_brannoc	lane_southeast_cross	221	7	1	1	0	0	0	0	58	2	0	0	0	0	0	0	56	23	1561
dur_brannoc	lane_northeast_spine	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	9	1561
dur_brannoc	lane_northeast_cross	221	5	1	1	0	0	0	0	69	2	0	0	0	0	0	0	56	32	1561
dur_brannoc	lane_northwest_spine	221	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	20	1561
dur_brannoc	lane_northwest_cross	221	5	1	1	0	0	0	0	121	3	3	3	0	0	0	0	56	25	1561
dur_brannoc	lane_southwest_spine	221	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	56	16	1561
dur_brannoc	lane_southwest_cross	221	6	1	1	0	0	0	0	110	3	1	1	0	0	0	0	56	25	1561
gor_drazhak	avenue_south	214	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	1	1524
gor_drazhak	avenue_north	214	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	1	1524
gor_drazhak	avenue_west	214	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	15	1524
gor_drazhak	avenue_east	214	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	6	1524
gor_drazhak	ring_west	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	18	1415
gor_drazhak	ring_east	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	17	1415
gor_drazhak	ring_south	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	9	1415
gor_drazhak	ring_north	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	10	1415
gor_drazhak	lane_spine_southeast	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	12	1383
gor_drazhak	lane_cross_southeast	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	25	1383
gor_drazhak	lane_spine_northeast	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	16	1383
gor_drazhak	lane_cross_northeast	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	14	1383
gor_drazhak	lane_spine_northwest	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	22	1383
gor_drazhak	lane_cross_northwest	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	9	1383
gor_drazhak	lane_spine_southwest	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	20	1383
gor_drazhak	lane_cross_southwest	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	24	1383
lethariel	avenue_south	214	2	1	1	0	0	0	0	135	7	119	119	0	0	0	0	54	20	1524
lethariel	avenue_north	240	2	1	1	0	0	0	0	683	1	0	0	0	675	0	0	33	3	1660
lethariel	avenue_west	214	2	1	1	0	0	0	0	4	1	0	0	0	0	0	0	54	17	1524
lethariel	avenue_east	214	4	1	1	0	0	0	0	401	2	0	0	0	368	0	0	39	6	1524
lethariel	ring_west	193	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	16	1415
lethariel	ring_east	193	2	1	1	0	0	0	0	360	10	42	42	0	301	0	0	38	13	1415
lethariel	ring_south	193	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	1	1415
lethariel	ring_north	193	1	1	1	0	0	0	0	606	1	0	0	0	611	0	0	26	0	1415
lethariel	lane_southeast_spine	191	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	24	1403
lethariel	lane_southeast_cross	191	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	1	1403
lethariel	lane_northeast_shore	233	4	1	2	0	0	0	0	466	3	1	1	0	445	0	0	42	18	1625
lethariel	lane_northwest_spine	191	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	8	1403
lethariel	lane_northwest_cross	191	2	1	1	0	0	0	0	123	1	0	0	0	128	0	0	43	7	1403
lethariel	lane_southwest_spine	191	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	16	1403
lethariel	lane_southwest_cross	191	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	3	1403
kezamba	avenue_south	209	2	1	1	0	0	0	0	417	26	371	371	0	0	0	0	54	27	1499
kezamba	avenue_north	209	2	1	1	0	0	0	0	296	17	233	233	0	467	0	0	54	16	1499
kezamba	avenue_west	209	3	1	1	0	0	0	0	132	11	95	95	0	0	0	0	54	17	1499
kezamba	avenue_east	209	6	1	1	0	0	0	0	174	22	155	155	0	499	0	0	54	15	1499
kezamba	ring_west	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	11	1415
kezamba	ring_east	193	1	1	1	0	0	0	0	140	19	126	126	0	530	0	0	50	9	1415
kezamba	ring_south	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	10	1415
kezamba	ring_north	193	0	1	1	0	0	0	0	185	18	170	170	0	640	0	0	50	10	1415
nhal_veyr	avenue_south	214	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	9	1524
nhal_veyr	avenue_north	214	2	1	1	0	0	0	0	30	4	15	15	0	0	0	0	54	8	1524
nhal_veyr	avenue_west	214	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	54	10	1524
nhal_veyr	avenue_east	214	2	1	1	0	0	0	0	8	2	0	0	0	0	0	0	54	9	1524
nhal_veyr	ring_west	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	14	1415
nhal_veyr	ring_east	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	26	1415
nhal_veyr	ring_south	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	13	1415
nhal_veyr	ring_north	193	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	11	1415
nhal_veyr	lane_southeast_spine	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	6	1383
nhal_veyr	lane_southeast_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	16	1383
nhal_veyr	lane_northeast_spine	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	19	1383
nhal_veyr	lane_northeast_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	5	1383
nhal_veyr	lane_northwest_spine	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	13	1383
nhal_veyr	lane_northwest_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	13	1383
nhal_veyr	lane_southwest_spine	187	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	14	1383
nhal_veyr	lane_southwest_cross	187	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	22	1383
