schema	grug_wp40_t2_authored_invariants_v1
kind	path_or_family	sha256_or_schema	detail
implementation	mods/MAPGEN/grug_mapgen/wp40/geometry/authored.lua	4c7670edcf7e6f4caac5540f29a1980732afb391c5e1f789a52da22167337ac5	engine_free_factory;closed_dependency_API_and_Source_rosters;no_compiler_wiring
test	tools/wp40/t2_authored_test.lua	e3a98404831f7eb1aa624784ce7022f60a2761b09d3e79654d25189bd484bc8e	real_source_validator_and_compiled_schema_canonicalizer;99_records;85_full_cases;21_PUC_KAT_cases
runner	tools/wp40/run_t2_authored.sh	d1862d0b1f7e035bdc8d548340bdab8332f4d55bcf0958b426a4b7bfe8c2666d	LuaJIT_first;fixed_plain-PUC_5.1_identity_preflight;LuaJIT_negative_identity_selftest;representative_PUC_KAT;byte_identical_canonical_lines
fixture	tools/wp40/fixtures/t2_authored/digests-v1.tsv	076a4cacecd89211782b3f3a209a08b3f431cb208c0bf1a54479a859ff76da2a	counts_rosters_representatives_and_digest_pins
source	mods/MAPGEN/grug_mapgen/wp40/source/catalog.lua	83dbbfe6ba4afe2fa8f77c20b28a6c4610e791ac2e283fffd2c31207a4ef5ef8	consume_only_unchanged_from_provider
validator	mods/MAPGEN/grug_mapgen/wp40/validation/t2_source.lua	7d853a01f24f01a6f3568dfe837d933289a7373f6e44b25a546c2cb8d2c96fc8	consume_only_unchanged_from_provider;world_authority_runs_first
schema	mods/MAPGEN/grug_mapgen/wp40/compiled_schema.lua	7206ef422abc8320597ec190d1edb9d7a3e62456e1d7437b34eadea10fff6051	consume_only_unchanged_from_provider;sole_complete_shell_validator
canonical	mods/MAPGEN/grug_mapgen/wp40/canonical.lua	28022454cadac7aba838873c955ce4ab5c96ff995efef2bc729490b309935716	consume_only_unchanged_from_provider;real_encoder_and_hasher
schemas	mods/MAPGEN/grug_mapgen/wp40/schemas.lua	fed31441cc491887a06b8d2d6a0e0c1c728ff93da53fbf4ff0493603baff351f	consume_only_unchanged_from_provider
family	zones	grug_wp40_zone_v1	38_records;Source_order;complete_lossless_reconstruction;sorted_unique_named_buckets;empty_candidates_attributes
family	land_routes	grug_wp40_land_route_v1	57_records;30_primary_24_secondary_3_trail;route_001_through_route_057;land_058_through_land_061_absent
family	boat_routes	grug_wp40_boat_route_v1	4_records;all_public_boat_routes;complete_lossless_reconstruction
family	island_routes	empty	10_stations_8_routes_16_interfaces_4_landings_remain_Source_only
shell	grug_wp40_compiled_world_v2	012817385d86ece1141969f829d6a9a1b4252e89b07c18489fb6218740ee5213	harness-composed_schema-valid_acceptance_shell;not_production_compiler_output;validated_only_by_compiled_schema.canonicalize_compiled;all_authorized_families_present
