classification	id	value	scope
measured_fact	route_profile_roster	65	57_mainland_plus_8_island
measured_fact	route_011_bridgeable_delta	36	exact_current_phase_windows_first_transition_free
measured_fact	H1_capacity_variant_differences	0	current_8_island_routes_no_ruling
measured_fact	raw_local_optimistic_negative_rows	198	570_side_rows_pre_ca2_local_upper_bound
proof	raw_exact_singleton_negative_rows	171	190_rows_exact_G_not_gate_range_bound
measured_fact	raw_range_optimistic_negative_rows	27	380_rows_unknown_hashed_G_optimistic_band_bound
measured_fact	unclipped_local_optimistic_negative_rows	259	570_side_rows_pre_ca2_no_edge_G_or_junction_not_final_H
proof	unclipped_exact_singleton_negative_rows	169	190_rows_exact_G_no_edge_G_or_junction_not_final_H
measured_fact	unclipped_range_optimistic_negative_rows	90	380_rows_unknown_hashed_G_optimistic_band_bound
measured_fact	island_unclipped_positive_deficits	37	40_route_seed_rows_endpoint_only_not_final_H
proof	route_reach_analytic_contacts	25	65_routes_exact_authored_segment_intersection
proof	route_reach_raster_disagreements	0	analytic_authority_vs_canonical_raster_crosscheck
proof	island_route_reach_contacts	0	8_island_routes_exact_authored_segment_intersection
measured_fact	undeclared_analytic_contacts	20	exact_authored_segment_intersection
proof	route_stations_inside_planned_water	8	analytic_centreline_zero_distance_with_positive_recorded_width
proof	route_stations_on_dry_channel	1	analytic_centreline_no_water_claim
proof	design_flow_direction_conflicts	1	source_delta_and_from_to_roles_vs_declared_zone_design_rule
measured_fact	reach_W_below_zone_primary_band	1	source_W_vs_primary_zone_relief_band
measured_fact	reach_W_below_landmark_secondary_band	7	source_W_vs_reach_landmark_secondary_relief_band
measured_fact	reach_W_above_landmark_secondary_band	2	25_reaches_source_W_vs_reach_landmark_secondary_relief_band
measured_fact	hydro_kezamba_cenote_W_above_landmark_secondary_band	40	source_W_minus_reach_landmark_secondary_band_high
measured_fact	hydro_lorindor_marsh_W_above_landmark_secondary_band	4	source_W_minus_reach_landmark_secondary_band_high
inference	source_ruling_round_needed	true	diagnostics_identify_questions_no_geometry_change_authorized
deferred	final_owner_containment	false	unavailable_until_reviewed_ca2_provider
deferred	final_H_profile_acceptance	false	unavailable_until_reviewed_ca2_provider
