row_type	route_id	seed	winner_index	station_count	literal_bridgeable_delta	symmetric_bridgeable_delta	raw_start_h	raw_end_h	raw_min_h	raw_max_h	raw_endpoint_deficit_literal	unclipped_all_start_h	unclipped_all_end_h	unclipped_all_min_h	unclipped_all_max_h	unclipped_all_endpoint_deficit_literal	authored_zone_start_h	authored_zone_end_h	authored_zone_min_h	authored_zone_max_h	authored_zone_endpoint_deficit_literal	claim_scope
measured_route	island_route_wyrmglass_south_junction	0	0	211	35	35	254	230	230	254	-11	250	174	174	251	41	250	174	174	251	41	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_south_junction	5270046902118333881	2192	211	35	35	291	293	291	295	-33	277	157	157	277	85	277	157	157	277	85	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_south_junction	16178445837170081103	1713	211	35	35	291	279	279	291	-23	257	123	122	257	99	257	123	122	257	99	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_south_junction	15219119262482319357	1047	211	35	35	289	295	289	295	-29	283	166	166	283	82	283	166	166	283	82	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_south_junction	17842018860885445630	3438	211	35	35	222	234	222	234	-23	210	115	115	218	60	210	115	115	218	60	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_north_junction	0	0	211	35	35	256	230	230	256	-9	252	174	174	252	43	252	174	174	252	43	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_north_junction	5270046902118333881	2192	211	35	35	291	293	291	295	-33	277	157	156	277	85	277	157	156	277	85	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_north_junction	16178445837170081103	1713	211	35	35	287	279	279	287	-27	258	123	122	258	100	258	123	122	258	100	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_north_junction	15219119262482319357	1047	211	35	35	285	295	285	295	-25	281	166	166	281	80	281	166	166	281	80	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_north_junction	17842018860885445630	3438	211	35	35	218	234	218	234	-19	207	115	115	217	57	207	115	115	217	57	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_dragon	0	0	161	29	29	230	219	219	230	-18	174	215	174	224	12	174	215	174	224	12	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_dragon	5270046902118333881	2192	161	29	29	293	277	277	293	-13	157	285	157	285	99	157	285	157	285	99	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_dragon	16178445837170081103	1713	161	29	29	279	260	260	279	-10	123	295	123	295	143	123	295	123	295	143	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_dragon	15219119262482319357	1047	161	29	29	295	293	293	295	-27	166	227	166	233	32	166	227	166	233	32	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_dragon	17842018860885445630	3438	161	29	29	234	243	234	243	-20	115	247	115	249	103	115	247	115	249	103	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_apex	0	0	111	22	22	230	224	224	230	-16	174	184	174	186	-12	174	184	174	186	-12	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_apex	5270046902118333881	2192	111	22	22	293	283	283	293	-12	157	185	157	187	6	157	185	157	187	6	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_apex	16178445837170081103	1713	111	22	22	279	269	269	279	-12	123	164	123	167	19	123	164	123	167	19	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_apex	15219119262482319357	1047	111	22	22	295	294	294	295	-21	166	182	166	183	-6	166	182	166	183	-6	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_wyrmglass_junction_apex	17842018860885445630	3438	111	22	22	234	239	234	239	-17	115	150	115	152	13	115	150	115	152	13	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_south_junction	0	0	211	35	35	295	314	295	314	-16	286	138	138	286	113	286	138	138	286	113	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_south_junction	5270046902118333881	2192	211	35	35	280	271	271	280	-26	246	138	138	246	73	246	138	138	246	73	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_south_junction	16178445837170081103	1713	211	35	35	230	229	226	230	-34	278	127	126	315	116	278	127	126	315	116	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_south_junction	15219119262482319357	1047	211	35	35	215	207	207	215	-27	221	133	133	225	53	221	133	133	225	53	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_south_junction	17842018860885445630	3438	211	35	35	282	308	282	308	-9	259	142	141	259	82	259	142	141	259	82	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_north_junction	0	0	201	34	34	295	314	295	314	-15	281	138	138	282	109	281	138	138	282	109	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_north_junction	5270046902118333881	2192	201	34	34	278	271	271	278	-27	231	138	138	231	59	231	138	138	231	59	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_north_junction	16178445837170081103	1713	201	34	34	230	229	226	230	-33	299	127	126	316	138	299	127	126	316	138	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
