row_type	route_family	route_id	reach_id	profile_id	analytic_segment_pair_count	raster_common_station_count	raster_first_x	raster_first_z	raster_last_x	raster_last_z	raster_relation	declared_interface_id	declaration_status	proof_scope
route_reach_analytic_centreline_contact	mainland	route_005	hydro_goldmead_millriver	river	1	1	0	-2020	0	-2020	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_006	hydro_highcourt_outflow	river	2	65	0	-1244	0	-1180	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_010	hydro_mournfen_marsh	shallow_marsh	1	1	-2055	2100	-2055	2100	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_016	hydro_raincall_middle_upper	shallow_pond	1	1	1990	2070	1990	2070	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_020	hydro_whitebridge_main	river	1	65	-964	-1500	-900	-1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_021	hydro_whitebridge_main	river	4	501	-900	-1500	-400	-1500	agrees	whitebridge_bridge	declared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_024	hydro_moonfall_lake	ordinary_lake	1	65	2336	-1500	2400	-1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_026	hydro_speargrass_dryriver	dry_channel	1	65	-964	1500	-900	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_027	hydro_speargrass_dryriver	dry_channel	1	65	-900	1500	-836	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_028	hydro_whispering_reedmaze	shallow_marsh	1	65	836	1500	900	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_029	hydro_whispering_reedmaze	shallow_marsh	1	65	900	1500	964	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_030	hydro_totemwater_delta	delta_arm	1	65	2336	1500	2400	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_032	hydro_whitebridge_ford	ford	2	1	-900	-1100	-900	-1100	agrees	whitebridge_ford	declared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_032	hydro_whitebridge_main	river	1	1	-900	-1500	-900	-1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_034	hydro_moonfall_lake	ordinary_lake	1	1	2400	-1500	2400	-1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_038	hydro_speargrass_dryriver	dry_channel	1	1	-900	1500	-900	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_039	hydro_whispering_reedmaze	shallow_marsh	1	1	900	1500	900	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_040	hydro_totemwater_delta	delta_arm	1	1	2400	1500	2400	1500	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_043	hydro_gravesalt_pans	shallow_marsh	1	1	-2000	0	-2000	0	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_044	hydro_broken_marsh	ordinary_lake	1	2	-1016	-109	-1015	-109	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_045	hydro_broken_marsh	ordinary_lake	2	1	-375	-250	-375	-250	agrees	broken_causeway	declared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_049	hydro_gravesalt_pans	shallow_marsh	1	1	-2000	0	-2000	0	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_050	hydro_broken_marsh	ordinary_lake	2	1	-1125	250	-1125	250	agrees	broken_ford	declared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_055	hydro_broken_marsh	ordinary_lake	5	20	-1500	-125	-1381	-121	agrees	broken_aqueduct	declared	exact_authored_segment_intersection_with_raster_crosscheck
route_reach_analytic_centreline_contact	mainland	route_055	hydro_gravesalt_pans	shallow_marsh	1	2	-2000	0	-1999	0	agrees		undeclared	exact_authored_segment_intersection_with_raster_crosscheck
