invariant	before	after	result
gravesalt_warcoast_center_x	-2450	-2420	expected_move
skyglass_warcoast_center_x	2450	2420	expected_move
warcoast_total_half_extents	80x230	80x230	unchanged
holy_grounds_bounds	x=-2500..2500,z=-250..250	x=-2500..2500,z=-250..250	unchanged
channel_polygons	channel_wyrmglass+channel_stormscale	channel_wyrmglass+channel_stormscale	unchanged
strict_exterior_channel_columns_per_mask	11542	0	expected_move
extreme_channel_representatives	x=-2530/+2530 inside	x=-2530/+2530 outside	expected_move
holy_boundary_centerline_contacts	z=-125,+125 inside	z=-125,+125 inside	unchanged
holy_boundary_approach_coverage	96/96+96/96	73/96+74/96	expected_half_open_contact_move
four_node_inland_approach_coverage	96/96+96/96	96/96+96/96	unchanged
source_checksum	87540c49d629eb81164c18e906c23cabbe03eddb429f7ba647c60b650951cd6e	e244c25fdfec1736a905c9fd55115fbad1fb1bc070e3978336d7cf089b465963	expected_move
pcc_source_fixture_sha256	526b46c1190cf889ea00b646737a3ac4f4591a17f0b2bde26f88755a8c950253	664c92edb2357ab998831086cdf98b8251fbcbc8166cf18d957edd3911928ac8	expected_move
pcc_source_manifest_row	fixture:source-v1.txt:526b46c1190cf889ea00b646737a3ac4f4591a17f0b2bde26f88755a8c950253	fixture:source-v1.txt:664c92edb2357ab998831086cdf98b8251fbcbc8166cf18d957edd3911928ac8	expected_move
authored_fixture_source_checksum	87540c49d629eb81164c18e906c23cabbe03eddb429f7ba647c60b650951cd6e	e244c25fdfec1736a905c9fd55115fbad1fb1bc070e3978336d7cf089b465963	expected_source_pin_rebind
extreme_prerequisite_source_checksum	87540c49d629eb81164c18e906c23cabbe03eddb429f7ba647c60b650951cd6e	e244c25fdfec1736a905c9fd55115fbad1fb1bc070e3978336d7cf089b465963	expected_source_pin_rebind
d1_semantic_digests	3f41fb8f/70c5d488/b8d5b653/01281738	3f41fb8f/70c5d488/b8d5b653/01281738	unchanged
boundary_policy_sha256	ed1cd5440d713e69d7dc913626490ae8c0af43e30a825ad9a81fcb6e13a60d2d	ed1cd5440d713e69d7dc913626490ae8c0af43e30a825ad9a81fcb6e13a60d2d	unchanged
world_partition_sha256	528c03e32662924887ea89a8ef39ef9e95c039af2e6bdcd333aabef11d54fc70	528c03e32662924887ea89a8ef39ef9e95c039af2e6bdcd333aabef11d54fc70	unchanged
extreme_partition_sha256	e12f4f1b48a0cda79c9ac61b2de6299d9491fd185491f95b4d9c644ed2a599a3	e12f4f1b48a0cda79c9ac61b2de6299d9491fd185491f95b4d9c644ed2a599a3	unchanged
extreme_max_u64_compiled_sha256	df08c6983a30dc344b1707c35e64c9728d4a2c5bfaca4bf37bdb04c8c6f3b3ac	df08c6983a30dc344b1707c35e64c9728d4a2c5bfaca4bf37bdb04c8c6f3b3ac	unchanged
s1_source_projection	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652	unchanged
s1_authority	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c	unchanged
s1_lock_blobs	6	6	byte_identical
fields_shared_sha256	129d04476118a140eaebeff4aa0ce6b6c07af78e5539ff85fb43061e9ed0c932	129d04476118a140eaebeff4aa0ce6b6c07af78e5539ff85fb43061e9ed0c932	unchanged
fields_full_sha256	94e4ac100fdb047b4a4a3cebcf88a355fe9f62586697b910dcc20f765badb00a	94e4ac100fdb047b4a4a3cebcf88a355fe9f62586697b910dcc20f765badb00a	unchanged
candidate_artifact_sha256	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027	unchanged
candidate_rows_sha256	b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3	b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3	unchanged
winner_slots	28:2192,29:1713,30:1047,31:3438	28:2192,29:1713,30:1047,31:3438	unchanged
c1_acceptance_artifacts	25	25	byte_identical
fix2_executable_or_fixture_paths_changed_from_runtime_measurement	0	0	unchanged
