key	value
schema	grug_wp40_t2_warcoast_source_evidence_v1
package	WP40 T2 WARCOAST-SOURCE-1 containment correction
baseline	506876f9ec8ab51140aeac3822f5bfc2674578e5
baseline_tree	f138031582b8a77a8211bb15398727d0f7ac1b0d
runtime_measurement_head	9b444061fbb77aaf6d8a5bffdb4fc8e61d0146ec
runtime_measurement_tree	b4ce77a5ddb15026f7079ddb30e9e490293ad4d4
tested_head	7589efabf49401e960cbc5bd37df20bd5fe77f6b
tested_tree	be2073fd8212d6879d3da343563f14b0ce06c467
tested_fix2_head	7589efabf49401e960cbc5bd37df20bd5fe77f6b
tested_fix2_tree	be2073fd8212d6879d3da343563f14b0ce06c467
fix2_runtime_semantic_diff_from_measurement	0 non-Markdown paths
implementing_model	GPT-5.6 Sol
review_status	first focused re-review CHANGES_REQUESTED; user-authorized fix round 2 applied; second focused re-review pending
review_findings_initial	0_Critical,2_High,3_Medium,4_Low plus 3 inherited observations
review_findings_first_focused_rereview	0_Critical,0_High,1_new_Medium,3_new_Low
fix_round_count	2
initial_implementation_commit	8b61ec3
initial_authority_commit	6c8b71e
fix_round1_implementation_commit	dbd436c
fix_round1_authority_commit	9b44406
fix_round2_docs_commit	7589efa
source_checksum_before	87540c49d629eb81164c18e906c23cabbe03eddb429f7ba647c60b650951cd6e
source_checksum_after	e244c25fdfec1736a905c9fd55115fbad1fb1bc070e3978336d7cf089b465963
pcc_source_fixture_sha256_before	526b46c1190cf889ea00b646737a3ac4f4591a17f0b2bde26f88755a8c950253
pcc_source_fixture_sha256_after	664c92edb2357ab998831086cdf98b8251fbcbc8166cf18d957edd3911928ac8
pcc_source_manifest_kind	fixture
pcc_source_manifest_name	source-v1.txt
pcc_source_manifest_sha256	664c92edb2357ab998831086cdf98b8251fbcbc8166cf18d957edd3911928ac8
pcc_fixture_manifest_sha256_before	9e5f1ac480c0b7df8cca3dba1dd74ba31d309f309d8041c86dff08e5860375bd
pcc_fixture_manifest_sha256_after	9d5c65b9916c2f52f4078e1a90365189dccb95e4cd0eb210481bf6a599096e43
authored_fixture_sha256_before	9f43f1f26925c1eeec50083dc1ccab24f5983a4af7abdd61e96490ad69d66891
authored_fixture_sha256_after	69f485dd340c498d8889f9d9c047a4dde84ae0ed079e1b0202c371327268fc5e
extreme_prerequisite_fixture_sha256_before	46fe2d63423d27820a99501d4ecc401e569a3839efac04e7a10fc5dbccd22891
extreme_prerequisite_fixture_sha256_after	dfc8b1d61f0832def1e4bd92ee3ac0e6a765be2e8b38647726c99397aa828165
s1_source_projection_sha256	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652
s1_authority_sha256	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c
s1_lock_blob_count	6
fields_shared_sha256	129d04476118a140eaebeff4aa0ce6b6c07af78e5539ff85fb43061e9ed0c932
fields_full_sha256	94e4ac100fdb047b4a4a3cebcf88a355fe9f62586697b910dcc20f765badb00a
d1_zones_sha256	3f41fb8f109f3edd4d0991632658b018c25686e664cc039406112ceb5740a5ed
d1_land_routes_sha256	70c5d4885ec2eed77267e82d9adcbf618a4eb095b5286cc46726687e9436b94f
d1_boat_routes_sha256	b8d5b653946a27e254d602b533c511c129472b300992a33f48dcaa36bd65f038
d1_complete_shell_sha256	012817385d86ece1141969f829d6a9a1b4252e89b07c18489fb6218740ee5213
boundary_policy_sha256	ed1cd5440d713e69d7dc913626490ae8c0af43e30a825ad9a81fcb6e13a60d2d
world_partition_sha256	528c03e32662924887ea89a8ef39ef9e95c039af2e6bdcd333aabef11d54fc70
extreme_partition_sha256	e12f4f1b48a0cda79c9ac61b2de6299d9491fd185491f95b4d9c644ed2a599a3
extreme_max_u64_compiled_sha256	df08c6983a30dc344b1707c35e64c9728d4a2c5bfaca4bf37bdb04c8c6f3b3ac
candidate_artifact_sha256	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027
candidate_rows_sha256	b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3
winner_slots	28:2192,29:1713,30:1047,31:3438
c1_acceptance_artifact_count	25
warcoast_old_channel_columns_per_mask	11542
warcoast_new_channel_columns_per_mask	0
warcoast_boundary_coverage	south=73/96,north=74/96
warcoast_inland_coverage_at_four_nodes	south=96/96,north=96/96
reproduction_source_static	tools/wp40/t2_source_audit.sh . --static-only
reproduction_warcoast_luajit	WP40_T2_ONLY=warcoast_source_contract tools/wp40/run_t2_source_fast.sh
reproduction_corruption_luajit	WP40_T2_ONLY=source_corruption_kats tools/wp40/run_t2_source_fast.sh
reproduction_s1	WP40_LUA_BIN=/usr/bin/luajit tools/wp40/run_t2_s1_authority.sh
reproduction_fields	tools/wp40/run_t2_fields.sh
reproduction_authored	tools/wp40/run_t2_authored.sh
