slot	status	label	decimal
1	fixed	literal	0
2	fixed	literal	1
3	fixed	literal	2
4	fixed	literal	42
5	fixed	literal	1013
6	fixed	literal	20260812
7	fixed	literal	2147483647
8	fixed	literal	2147483648
9	fixed	literal	2147483649
10	fixed	literal	4294967295
11	fixed	literal	4294967296
12	fixed	literal	4294967297
13	fixed	literal	6442450943
14	fixed	literal	6442450944
15	fixed	literal	8589934591
16	fixed	literal	9007199254740991
17	fixed	literal	9007199254740992
18	fixed	literal	9007199254740993
19	fixed	literal	18446744073709551615
20	fixed	literal	1181064378178512398
21	fixed	grudgelands-wp40-seed-01	9219515541647461526
22	fixed	grudgelands-wp40-seed-02	7258015152932567000
23	fixed	grudgelands-wp40-seed-03	9703954825944019383
24	fixed	grudgelands-wp40-seed-04	7072879937603433753
25	fixed	grudgelands-wp40-seed-05	6987984790047262299
26	fixed	grudgelands-wp40-seed-06	8118839283201131377
27	fixed	grudgelands-wp40-seed-07	14570731025329063210
28-31	T2_MEASURED	grudgelands-wp40-extreme-NNNN	DO_NOT_INVENT
32	T9_PRODUCTION	production-or-next-unique-seed-label	DO_NOT_INVENT
