schema	grug_wp40_extreme_selected_partition_v3
status	passed
scope	T2C_E0_SELECTED_FOUR_PARTITION_CONFORMANCE_ONLY
pool_measurement_commit	19fc28d1e1ecb2a18c7bb208d21c448cce12bc7d
pool_measurement_tree	bca04056315412b9f19f20bbe554b0693f658c17
pool_authority_dag_sha256	069cce2d637d30538131defbbba0a64bb9cc65f22c71a00fd287183d2518e20a
s1_authority_sha256	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c
s1_source_projection_sha256	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652
conformance_commit	86e5071de0fd449c2a1c88587f4d7614b2a2ccc8
conformance_tree	07e5d99c96edd3f66c454feefa606b072c78d33e
conformance_dag_sha256	42b8a38cfc8a1247f974f31a88fec13a1795461888d1cd36dec8e8389357459f
execution_authority_dag_sha256	e29fa7eb3f497db0b1ad7b7452c454fa41abd5a11880e882e07c7c842166f4bf
artifact_sha256	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027
manifest_sha256	c8f6185287e4471b0aac2d71c2cceb62114ece566bdbb2ad9e69c5a1c79e0f77
candidate_rows_sha256	b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3
interpreter_id	puc_lua51
interpreter_path	/home/jan/projects/grudgelands/tools/bin/lua51
interpreter_version	Lua 5.1.5  Copyright (C) 1994-2012 Lua.org, PUC-Rio
interpreter_sha256	a1a427f38260513b64158630bc2b7d2fccfa31b48129efbfbcc60e02e4960a4f
slot	30
slot_id	greatest_noncoast
candidate_index	1047
candidate_decimal	15219119262482319357
compiled_sha256	169cc866224403e8786b71166b1b3de240fa3b18dcf33b2729706cc29216e17c
columns	30316314
base_total	1876288
planned_water	2112499
dry	28203815
g	0
o	0
r	0
m	0
schedule_intervals	275706
perimeter_aperture	2750
perimeter_attachment	8
perimeter_dry	27190
transition_count	8
bank_count	20
wing_count	8
coast_count	22
face_count	38
