schema	grug_wp40_extreme_candidate_shard_v2
range	0	511	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	724dd6ed0412043450947d60a00995bbd7dcac49e0057579ff479fc75e6bc667
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
0	scored	grudgelands-wp40-extreme-0000	2e0c0041e1bcc0abf1cf4f3e024dfc28d32b05b4742249335b4fa9979261f2c8	2e0c0041e1bcc0ab	3318027308425330859	1972811	24696061952	23552	40aa241940ac77bd7933d918f7af88ffbc277a0efff7538f54e87d9927c7e40f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	618062429	178530549760	42565	1b2d1a138be6b3f93e0e7b9285d6cf5c95c26400517422be838b989af58bdc06	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1	scored	grudgelands-wp40-extreme-0001	b5f891a1406dccd3d2d07d2d2d9fe87dd68d2f5a6e40bd4310e88e889bc5433e	b5f891a1406dccd3	13112390436845898963	-72224285	74088185856	23552	62c6c9575826d48c2550746a4c4184612b3b1221525f5a9f14836fe3ae8a7304	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	642925223	178530549760	42565	6034cbd6852a68571ff90a0aee83a41fb0092c04ee43cb772170dd05f8d86608	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2	scored	grudgelands-wp40-extreme-0002	72b8898403bfd34839dcd589f0862fddae784edf21ef6e2fd2aeb16662ff7123	72b8898403bfd348	8266508316130136904	1765897	24696061952	23552	0d47611c5983c2f9f5f87b2c39fcbcfed4bee9af9e053ce7d65953a254605949	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-40602677	4463263744	42565	ce8d541a78ac9ec11a009443dcc45cb542b1cb7431bc637bf96d0b885e9727c1	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3	scored	grudgelands-wp40-extreme-0003	45915c7d09bd1404eccaeab3a369f3a6f748351de21d0fdcbd73429105ec747f	45915c7d09bd1404	5012889552344126468	-78114221	74088185856	23552	0f98dbec2b879aae54075bd4a8254b162d197171c6ac1c05a639d5906337bbf1	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-456629707	89265274880	42565	f95fbd7658246fdec51e7a7a07e92090fa3bf0ca14149fb65c8a825d14e8db2b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
4	scored	grudgelands-wp40-extreme-0004	20e70ad4a7c2fa19d9825972ab86e44d8d65abdf7015df0eb814e7e9410092d6	20e70ad4a7c2fa19	2370875637297773081	82781503	49392123904	23552	4c15b177bf4dd886d45c3148469862e1a156c695ee3d68f363e106a0551a14f4	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-17088257	89265274880	42565	33910fb7e654424a0a2775f5b59bbe518ff7894ed187e957ad09622183dc4722	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
5	scored	grudgelands-wp40-extreme-0005	1a930f9f736566073ea31b4c6fe0e6a0273dbf7954f1a1ca9795809825fe649e	1a930f9f73656607	1914891444072834567	32296303	24696061952	23552	e917d500444ec3c7c8e3b057b59a6422008c4bf749d3a3156714b59ad9d392b0	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-339098311	89265274880	42565	c9bfe3ac23e4fa0c6267901478041936855c24a1c03dbd2b3f5971673fc530f5	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
6	scored	grudgelands-wp40-extreme-0006	d390da0166e1b492480c4d0c9820aace106433c350dca8c06adc24f21b827c38	d390da0166e1b492	15244924438205019282	-193825885	148176371712	23552	7e73abfdc169a0e96be7940830daa6c2e3e82d4fee67cf9632e3cfc8ce3e67f5	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1892066449	178530549760	42565	4a0880c30621c8cd29b24840dc29931f7338c7a7e3ce597933c685060ca6ccbf	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
7	scored	grudgelands-wp40-extreme-0007	837dd61e53d082f76f70a442e85760ffbfe780c2d3c10f411b3b97dbef4edb70	837dd61e53d082f7	9474964616800928503	7978083	24696061952	23552	17c2bf56c39740b6ec79b2c58ba738da8ba88ecc3bdbf43a6933ca2343498317	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-195457327	89265274880	42565	7e66c2e8b50c3f3415ed53a42bfaa43db5abdabe89acda0f9e4b3dc3f85d0aff	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
8	scored	grudgelands-wp40-extreme-0008	eb10189a788c6f47025a2b4f576e4ce34545c99cc3169eb2dfb4fe2459d01e7b	eb10189a788c6f47	16938065250266935111	8054451	6174015488	23552	5b71992f81feb4afedf529f170dc7b8abbe2ef600f352aed8c2251d79d5f65d6	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	2931129	1394769920	42565	67d256e5221571037f0fb911940a52c4259f8329398fc0b01ca77b354695abbd	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
9	scored	grudgelands-wp40-extreme-0009	1d0663ab694e003d67f6ed46f3ebf9cd970e1f81ad2b7162425087eeaae0ab2a	1d0663ab694e003d	2091468664817451069	2785777	18522046464	23552	f68cd2eac4cc25146bc84fe8daf4059f54038bb0e417c37947d10225fcf78886	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-113052897	44632637440	42565	d1d252c745a82cdd636d2616972a67f0f0f30ad39408e4d68708886886767b95	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
10	scored	grudgelands-wp40-extreme-0010	096e10924ffe6a6a92cfab2647364c0b70922b6fe345695f1fafac405c1af08d	096e10924ffe6a6a	679498814372866666	137615315	74088185856	23552	f4450e34f54d8e64669a8fc0eca5e3449341245f9f9052aea81325e65c8e100f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-43009349	11158159360	42565	4743ea8d42da946beb7b93b0fae5ac8903f8f867913dcc93a665b20ae94d7f85	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
11	scored	grudgelands-wp40-extreme-0011	b1cacb8802a4528923d793d50ac6a6be11f86d539d64b9b16d55bfa87ec7d0ea	b1cacb8802a45289	12811275875029111433	113235229	148176371712	23552	49f0ee8823e7881550fd52b277d26140c2549d978de525be3a6c20217f3fb961	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	338055123	178530549760	42565	5565c2954495856442643d30575e3eec0871c8fc471357b4060224c4788f468e	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
