schema	grug_wp40_extreme_candidate_shard_v2
range	512	1023	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	c3d6acd4b1988cad44f66202f5ece320bf7bec15e5b9e0879832f1e5a3bdf102
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
512	scored	grudgelands-wp40-extreme-0512	e0fc6b0eaa8a00b96465659e4e6539d2cfa3a2e03de2def2280869957efc31b0	e0fc6b0eaa8a00b9	16211950469361828025	-3602005	24696061952	23552	1cf290a8b5f033c22c007131cf0c5b000ff1ff2a6224cf9292fb359eee9e2a4f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-124434211	35706109952	42565	1cf62d6236bd2bf0fad5410013c1f15f5307eb6cec12e3cec9b95acdc8bde5be	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
513	scored	grudgelands-wp40-extreme-0513	b8970458c765f3e316fc6eca38d308fd5daf213824eef0d8e7fd6a026ab4b8d1	b8970458c765f3e3	13301104803811029987	-9933461	37044092928	23552	77569262e0e8eaa6752fbea8ea1a24fa3c51e85e76146937c8d3db5445430bc4	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	262302487	89265274880	42565	d3fc7cc6761a6eb71e4775b2f02fec4f93dd35f4bd82284539a76e1340612aa1	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
514	scored	grudgelands-wp40-extreme-0514	f16f99c5be70e3731361cde807e0e3fda55c53b37b2950a431d603fa7afca48b	f16f99c5be70e373	17397292960138191731	-143608253	148176371712	23552	1307714823e7ca6b6d17eb7ba905b24e4e029d0d74dc0e27676a9c1d84e09e00	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	68645459	35706109952	42565	af7c96449be0a873f3c9418582bf0bed1e85713bd2a2dcfd0846631148f8c2e4	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
515	scored	grudgelands-wp40-extreme-0515	b1b60fcb959961c8b09977ce667113d1ad188c0ae5185ee707f2cb89858c0d11	b1b60fcb959961c8	12805439957537219016	-78862007	18522046464	23552	4b25a83850ee87f6a7884e4d9764d4ffc092a87014c21e17defb7d556070a522	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	370935723	44632637440	42565	820e31f658a7b98f953f98fc55de4323197634a872c9172dd5419cd03a4233eb	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
516	scored	grudgelands-wp40-extreme-0516	6744b95d665ed248ba869097ab17bc657ea8ecc9f40f069d4b5f0066b8b96454	6744b95d665ed248	7441276295123489352	-15562087	18522046464	23552	bf33302db7b0e6d266c2929a52f12953876fdf60773505352159ebbf21623c7e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1089298249	178530549760	42565	096068c07180845b225631efae40a3074d7aa615b1a35f029dd80b8f51b53471	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
517	scored	grudgelands-wp40-extreme-0517	0072a15a84f3df7cbfab4c2a1986c4ee5078757d43e711e2b638064e5e478f64	0072a15a84f3df7c	32265557494718332	111564303	49392123904	23552	af5ee32e3c853d1c0140fce1c0f753a3db4584b9d8e29ef95cd1c39253350b2d	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	173847105	35706109952	42565	6bbafc5c5bdb8976b636b89274fbdb49a91f6b908edd4a26c36f7801f0c9fd70	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
518	scored	grudgelands-wp40-extreme-0518	77e6a7f48c6d8b744534bc8fb510c722c0670f4ca2ea77bb685e96a267087afd	77e6a7f48c6d8b74	8639777603926723444	-18748219	148176371712	23552	76b900149612ca4dec8f28c099bc61711eeb0775bcb0d931d61e29246cd08eef	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	29663055	35706109952	42565	cdf52d75d529aa468ba6d801a1c13b9e98a5768f0680fce50aba65d22803b28c	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
519	scored	grudgelands-wp40-extreme-0519	40832498bb3edd414ceb86bbb6ca33f4add54dab93cd0683af59e43df6f5ee1c	40832498bb3edd41	4648599478771572033	-269101	74088185856	23552	5203e38df7610b1edddb89224a7b47ab66fb97cc7b091dc43d189cee50864652	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	427228619	89265274880	42565	157a1a5e57796a80d38af5f55eae0abffed56351e5236209a82900246b4ae3d8	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
520	scored	grudgelands-wp40-extreme-0520	df7f9b426af3be2417c943423c91d4df31d9e1714061bf9323b59401de34197e	df7f9b426af3be24	16104761502064688676	-30237517	148176371712	23552	5790df4f419e730cfca1d59d21496919207a6fefeb2423adfd6f21f3c209ab6c	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	550551089	178530549760	42565	609d0cbdb7abc2b7c5f5a9cdaf529e3dc88914041154a374ef0fa62406fbe4ff	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
521	scored	grudgelands-wp40-extreme-0521	00fdf10a04662a6002a456b8a6d766b23bc09f7b32f63db612f31c07f979c1d2	00fdf10a04662a60	71478194433567328	-13914961	148176371712	23552	180e6c3ef76dc1cef075cab0a16c6eab656421e646d4e89e657513203b043870	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-518887859	178530549760	42565	28b7e6d6abbd354208f1e61447841dde4ae9a54ecbfa27cfe7649cea5a52a727	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
