schema	grug_wp40_extreme_candidate_shard_v2
range	1024	1535	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	761144b369db7602e36dd2e9f433e60b52c219bf69256522f4d0098aa2764979
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
1024	scored	grudgelands-wp40-extreme-1024	9be10036fa4d1cf37c58de309780018e9865fb277b78e412ed7684ee90d8fa32	9be10036fa4d1cf3	11232259181766319347	-342590827	148176371712	23552	f6322be6da7dfde4efca82b52bf1d2b94975d5afb19fdad8124b83f40fc66576	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	306869849	22316318720	42565	b0f5b456eec57f99ec39453e8de486d547ed4ad3e8ac6956c713b00e072c089a	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1025	scored	grudgelands-wp40-extreme-1025	c05c70ea174e04c353448d67cf510e638ac71948b568b22d287a8dcede9edf64	c05c70ea174e04c3	13861077903855191235	-8746059	49392123904	23552	986f2ec810f10fbb1b8bd01a26ea7cab8a868d487fa58d92a93bfa7141a55916	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	149618711	89265274880	42565	e32da5839784dc3fa921cd804ee0feb76d22b230c1c79d488fe4fda9f0cc32df	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1026	scored	grudgelands-wp40-extreme-1026	a51f1fe01b5c39f594212378d20dc4244769bd2dd4410931cd0de28d6950db1f	a51f1fe01b5c39f5	11898263787928304117	140709395	148176371712	23552	d61e56fd86f691408cc1c9e66197d8724b9071fe7382f579b529c71d73549356	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	139020605	35706109952	42565	ebf3576273039557f6f73d1281ea458cb6f5b4612579b94b6d4e21b90fc29df4	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1027	scored	grudgelands-wp40-extreme-1027	312cd9673856723148a427710841d88b62a6b44b88c90b79e958c63a671a3d43	312cd96738567231	3543446044183786033	271702675	148176371712	23552	804a46fc6c2d359aeb3c989657c14f87683904e05aea3b95bd0ecc2cf81bc790	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-396692851	89265274880	42565	f5676f938376c899b595d7ed81725309a6536d09d0584f4bde9088aa0f1a8ab1	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1028	scored	grudgelands-wp40-extreme-1028	217d9b52b1c824f45423faa13f78946afd7e2e7b16f68dd26015f1f3e980400b	217d9b52b1c824f4	2413255754812761332	208634939	49392123904	23552	8d5f3bdd513cc48f4bfba475dfccbd3ee2b1744d25481219cf195ecd241be806	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1557620817	178530549760	42565	8f79fa50d82584c1df4a1ffb99c5d74c0409a0f57c212168b9380ced39f530f8	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1029	scored	grudgelands-wp40-extreme-1029	5ecf05eef76d799ef5c08c7cb292cde44db2721dc5963415399c68533d5cb30a	5ecf05eef76d799e	6831685683655834014	-35054849	12348030976	23552	47863c4ed3c7b7d339898f32c8b41aefdf98667a77600649e1cb18212f2025c4	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	982700101	89265274880	42565	522df1cf283d0e4db8acef367b6f06267e209a42722b701c5d3a4bc1d8ca9d26	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1030	scored	grudgelands-wp40-extreme-1030	7e1f56ac413232473a42ef1a81b3fad9df6d25a6f482c5412efcd63f6247790f	7e1f56ac41323247	9088077870885122631	-115463693	37044092928	23552	41c2ddea09e3a20b49ad68f6a750bd2e8ef1c99e2602831576ec527ddd9f0b5b	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1199917329	178530549760	42565	260a6764516640e82cc04874024eafcdca6f73467ec6a249e6828f9fce626771	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1031	scored	grudgelands-wp40-extreme-1031	4f45b01a1b56955b25c475534607b1b1bcfdd258712ae13a058a05846b6efdcf	4f45b01a1b56955b	5712165328563639643	2339793	24696061952	23552	5858173574c762c88a0aa4be6cab5c7d586137adda3ac82d8ae4fd3ffa223050	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	147702107	178530549760	42565	12091af39617fe10fe2bceb53170b0b3e1846febda8f66170b0720418428f771	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1032	scored	grudgelands-wp40-extreme-1032	e6f8ed166a70561b8d1a67dcfee6fcf2625cffe90a93c466ee93d35fee360fa3	e6f8ed166a70561b	16643313103478478363	1445507	6442450944	23552	c38514e8e5ca4ad3aa3a875fbb2bcf2fd2bbb9272d571bdb1e3227c2a6387cdf	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1583881717	178530549760	42565	1ee48c3bd4aa298d425ac0bc8d7d03e20dd7731e75b7974cd2c72827f225a231	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1033	scored	grudgelands-wp40-extreme-1033	cdfc29e589feed1f0b3392798d9d190c9402778456af8e26e934e28b47ac4bec	cdfc29e589feed1f	14842784537745747231	14511101	148176371712	23552	f05bc8a105f0cad5314c29ae9cfbfa14d9707e239c5475c9bc3ea6e4ea0fc035	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1673921463	178530549760	42565	0c70b356614dea1290e124765114b2e677779e8bc806d5ddd4805350a9b6c928	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
