schema	grug_wp40_extreme_candidate_shard_v2
range	1536	2047	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	a7ea97919657aa9f94900e0b1ebb23ea18b20d746ab632ce8d31575b04ba8ae9
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
1536	scored	grudgelands-wp40-extreme-1536	1faa86cf323bc376e6982e7c95790de5ea8453a7b1a77946577abeaa4ca321b1	1faa86cf323bc376	2281784385675707254	-679505891	148176371712	23552	de58f6dfe834df7a45229098b853fde8175d4f84e9ca53483ee9da9f0387aa16	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	47465137	89265274880	42565	50d716ae1cc132c5ded060b25279779eead9e38b66d8e8bb6f3d2738d7b2cfb6	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1537	scored	grudgelands-wp40-extreme-1537	3bc945f6deaafba975c6f4107034d3f2f16b55e5dd53e5e3e6a4883db81581b3	3bc945f6deaafba9	4308051445156608937	-148915661	74088185856	23552	86e935e98c28f73fedb161511d95b8d162144c7e56b1a4801d29217b9346d4e9	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	213790109	178530549760	42565	88cae1dfcc833dcaf7a61304656600ea9dcaac4cc2056194ba3af65b6b13fafe	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1538	scored	grudgelands-wp40-extreme-1538	4329a7351b2fc809f09d37413c2a632b3b19a0c2924b118b897b12669b69554b	4329a7351b2fc809	4839583121117530121	28165055	18522046464	23552	79740273841321fcb00721d942e01a3f3f366b1b088e3d4725b733a979acf337	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-6657351	44632637440	42565	a4ca356d92d9ef4827b4fc8a73cdf7a3f1cda434cb378c05d9e274995d431f13	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1539	scored	grudgelands-wp40-extreme-1539	471df8584bab50d9c717f450ce2b1a342ddf27893928e5dba2111703b02e8a53	471df8584bab50d9	5124525009127821529	-42979205	12348030976	23552	7a4ffd33f4378dafc69ff57c9876dfffd9a79e5f7c65fc2e87d6ced3a4a7140e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-192882659	44632637440	42565	b3e6b79c3c1b563e432e06017f592606eb5d91b36dfec6275b6c217e15da2880	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1540	scored	grudgelands-wp40-extreme-1540	e06f98c76cf492da3b327c2dc3549e62dcf30fa429615741aeef49d4558d33c0	e06f98c76cf492da	16172312769204622042	162763777	148176371712	23552	7380e7c196eb26056a0a8c63ceb891cde9a40a285ae7d8ed8adeba71b1a76feb	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	2299042281	178530549760	42565	c4464a3e687b043ba132040762309181ab95e6f4e4ce5c3978aa86dc014b5a86	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1541	scored	grudgelands-wp40-extreme-1541	ffc48f487edad33fc16346d7e350d9b0b22036e6cbdde92ae78ce3afc19a4030	ffc48f487edad33f	18430013116635599679	19330713	12348030976	23552	dd5cac3b29833a384cff1cb35c8ac4582aaf8841be0e73b092af48e7cd249a95	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-167701559	178530549760	42565	227a00c300a51426a47203f0439a0e499d3e5cb73cebcc964c89cf7498971fbb	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1542	scored	grudgelands-wp40-extreme-1542	dd58fbe659346e0607f0dff514bb62edb31bb76a10e60cd6e8ecd8d4fdc9e0b3	dd58fbe659346e06	15949775047090269702	-126317465	74088185856	23552	556b99387f2e59940850f23f16c925acda7cc147c95d9a8cff3f0a504c621ba6	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	131891791	35706109952	42565	614f0e2a283b19417f1ee29d560e51b6927bd409464cfc067cc870fd5c735480	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1543	scored	grudgelands-wp40-extreme-1543	bb42e98cbab185616bb373c5c36e27c964bbdd262e5ffaf5849865bf7b8a76d8	bb42e98cbab18561	13493604224192316769	32342683	37044092928	23552	97a5452ea573868191d6569413434d75b1f48bae327945c0cfb191315293d9a5	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	88588749	178530549760	42565	46e9a6b2286d7e4294fde99da45961876eeb45ee32c3c7a112c243c37a0da76c	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1544	scored	grudgelands-wp40-extreme-1544	45cb32903f78ea68997d84ec65759a8043f3d7e4d3e30624be29cbd3afd2b28a	45cb32903f78ea68	5029169004010859112	7843011	49392123904	23552	8c1020aab1a41801d3d13bd828d0ad1b54d3b03a74c3d03995aa09b89568154e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1009019183	178530549760	42565	6f40eba0ec9d4ad4618b39e3f893d908c09b81f55b4dfbc5fd344e1e8ecef9a1	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1545	scored	grudgelands-wp40-extreme-1545	65d2d023b82637fdde9c45d933003253947b4add971b8e84e86a0a22a30d5762	65d2d023b82637fd	7337155594771904509	579399	2147483648	23552	b5325374b2a03d78c3dafc22cd1a433e2bfa3b1ae7af55ed6eb3443b3fc30bf3	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1586938879	178530549760	42565	ec32921b3e66d520088338645c23de6a9d6163d0e36a53701fc31e37fb531541	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
